LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752701124.181215,400770.000,64300,3,MX,1,100,-99
1752701124.221215,400810.000,64300,3,MX,1,100,-99
1752701124.261215,400850.000,64316,2,MX,1,100,-99
1752701124.301215,400890.000,64316,2,MX,1,100,-99
1752701124.341215,400930.000,64337,3,MX,1,100,-99
1752701124.381215,400970.000,64337,3,MX,1,100,-98
1752701124.421216,401010.000,64337,3,MX,1,100,-99
1752701124.461216,401050.000,64352,2,MX,1,100,-99
1752701124.501216,401090.000,64352,2,MX,1,100,-99
1752701124.541216,401130.000,64369,3,MX,1,100,-99
1752701124.581216,401170.000,64369,3,MX,1,100,-99
1752701124.621216,401210.000,64369,3,MX,1,100,-99
1752701124.661216,401250.000,64385,3,MX,1,100,-99
1752701124.701216,401290.000,64385,3,MX,1,100,-99
1752701124.741216,401330.000,64385,3,MX,1,100,-99
1752701124.781216,401370.000,64402,2,MX,1,100,-99
1752701124.821216,401410.000,64402,2,MX,1,100,-98
1752701124.861216,401450.000,64421,3,MX,1,100,-98
1752701124.901217,401490.000,64421,3,MX,1,100,-98
1752701124.941217,401530.000,64421,3,MX,1,100,-100
1752701124.981217,401570.000,64438,2,MX,1,100,-98
1752701125.021217,401610.000,64438,2,MX,1,100,-99
1752701125.061217,401650.000,64454,3,MX,1,100,-99
1752701125.101217,401690.000,64454,3,MX,1,100,-99
1752701125.141217,401730.000,64454,3,MX,1,100,-99
1752701125.181217,401770.000,64472,2,MX,1,100,-99
1752701125.221217,401810.000,64472,2,MX,1,100,-99
1752701125.261217,401850.000,64492,3,MX,1,100,-99
1752701125.301217,401890.000,64492,3,MX,1,100,-99
1752701125.341217,401930.000,64492,3,MX,1,100,-99
1752701125.381218,401970.000,64507,2,MX,1,100,-99
1752701125.421218,402010.000,64507,2,MX,1,100,-97
1752701125.461218,402050.000,64524,3,MX,1,100,-98
1752701125.501218,402090.000,64524,3,MX,1,100,-99
1752701125.541218,402130.000,64524,3,MX,1,100,-99
1752701125.581218,402170.000,64545,2,MX,1,100,-99
1752701125.621218,402210.000,64545,2,MX,1,100,-99
1752701125.661218,402250.000,64561,3,MX,1,100,-99
1752701125.701218,402290.000,64561,3,MX,1,100,-99
1752701125.741218,402330.000,64561,3,MX,1,100,-99
1752701125.781218,402370.000,64576,2,MX,1,100,-100
1752701125.821218,402410.000,64576,2,MX,1,100,-99
1752701125.861219,402450.000,64593,3,MX,1,100,-99
1752701125.901219,402490.000,64593,3,MX,1,100,-99
1752701125.941219,402530.000,64593,3,MX,1,100,-99
1752701125.981219,402570.000,64610,3,MX,1,100,-100
1752701126.021219,402610.000,64610,3,MX,1,100,-100
1752701126.061219,402650.000,64610,3,MX,1,100,-99
1752701126.101219,402690.000,64628,2,MX,1,100,-99
1752701126.141219,402730.000,64628,2,MX,1,100,-99
1752701126.181219,402770.000,64645,3,MX,1,100,-99
1752701126.221219,402810.000,64645,3,MX,1,100,-99
1752701126.261219,402850.000,64645,3,MX,1,100,-99
1752701126.301219,402890.000,64662,2,MX,1,100,-99
1752701126.341220,402930.000,64662,2,MX,1,100,-99
1752701126.381220,402970.000,64679,3,MX,1,100,-99
1752701126.421220,403010.000,64679,3,MX,1,100,-99
1752701126.461220,403050.000,64679,3,MX,1,100,-99
1752701126.501220,403090.000,64696,2,MX,1,100,-100
1752701126.541220,403130.000,64696,2,MX,1,100,-99
1752701126.581220,403170.000,64712,3,MX,1,100,-99
1752701126.621220,403210.000,64712,3,MX,1,100,-100
1752701126.661220,403250.000,64712,3,MX,1,100,-100
1752701126.701220,403290.000,64727,2,MX,1,100,-100
1752701126.741220,403330.000,64727,2,MX,1,100,-100
1752701126.781220,403370.000,64747,3,MX,1,100,-100
1752701126.821220,403410.000,64747,3,MX,1,100,-99
1752701126.861221,403450.000,64747,3,MX,1,100,-100
1752701126.901221,403490.000,64765,2,MX,1,100,-99
1752701126.941221,403530.000,64765,2,MX,1,100,-98
1752701126.980887,403569.667,64784,3,MX,1,100,-100
1752701127.020554,403609.333,64784,3,MX,1,100,-100
1752701127.060221,403649.000,64784,3,MX,1,100,-100
1752701127.100221,403689.000,64798,2,MX,1,100,-100
1752701127.140221,403729.000,64798,2,MX,1,100,-99
1752701127.176221,403765.000,64816,3,MX,1,100,-98
1752701127.212221,403801.000,64816,3,MX,1,100,-99
1752701127.248221,403837.000,64816,3,MX,1,100,-100
1752701127.288221,403877.000,64832,3,MX,1,100,-99
1752701127.328222,403917.000,64832,3,MX,1,100,-100
1752701127.368222,403957.000,64832,3,MX,1,100,-99
1752701127.408222,403997.000,64849,2,MX,1,100,-99
1752701127.448222,404037.000,64849,2,MX,1,100,-99
1752701127.488222,404077.000,64868,3,MX,1,100,-99
1752701127.528222,404117.000,64868,3,MX,1,100,-99
1752701127.568222,404157.000,64868,3,MX,1,100,-99
1752701127.608222,404197.000,64885,3,MX,1,100,-97
1752701127.648222,404237.000,64885,3,MX,1,100,-99
1752701127.688222,404277.000,64885,3,MX,1,100,-100
1752701127.728222,404317.000,64901,2,MX,1,100,-100
1752701127.768222,404357.000,64901,2,MX,1,100,-99
1752701127.808223,404397.000,64921,3,MX,1,100,-99
1752701127.848223,404437.000,64921,3,MX,1,100,-99
1752701127.888223,404477.000,64921,3,MX,1,100,-99
1752701127.928223,404517.000,64935,2,MX,1,100,-99
1752701127.968223,404557.000,64935,2,MX,1,100,-99
1752701128.008223,404597.000,64952,3,MX,1,100,-98
1752701128.048223,404637.000,64952,3,MX,1,100,-100
1752701128.088223,404677.000,64952,3,MX,1,100,-100
1752701128.128223,404717.000,64968,2,MX,1,100,-99
1752701128.168223,404757.000,64968,2,MX,1,100,-99
1752701128.208223,404797.000,64990,3,MX,1,100,-99
1752701128.248223,404837.000,64990,3,MX,1,100,-100
1752701128.288223,404877.000,64990,3,MX,1,100,-99
1752701128.328224,404917.000,65004,2,MX,1,100,-100
1752701128.368224,404957.000,65004,2,MX,1,100,-99
1752701128.408224,404997.000,65023,3,MX,1,100,-99
1752701128.448224,405037.000,65023,3,MX,1,100,-99
1752701128.488224,405077.000,65023,3,MX,1,100,-98
1752701128.528224,405117.000,65040,2,MX,1,100,-99
