LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752617372.278581,286888.000,44511,1,AY,1,100,-0.056
1752617372.318248,286927.667,44536,3,AY,1,100,-0.057
1752617372.357914,286967.333,44536,3,AY,1,100,-0.060
1752617372.397581,287007.000,44536,3,AY,1,100,-0.054
1752617372.437914,287047.333,44553,3,AY,1,100,-0.059
1752617372.478247,287087.667,44553,3,AY,1,100,-0.059
1752617372.518580,287128.000,44553,3,AY,1,100,-0.060
1752617372.558247,287167.667,44570,3,AY,1,100,-0.064
1752617372.597913,287207.333,44570,3,AY,1,100,-0.057
1752617372.637580,287247.000,44570,3,AY,1,100,-0.056
1752617372.677580,287287.000,44587,2,AY,1,100,-0.063
1752617372.717580,287327.000,44587,2,AY,1,100,-0.058
1752617372.757579,287367.000,44601,3,AY,1,100,-0.058
1752617372.797579,287407.000,44601,3,AY,1,100,-0.064
1752617372.837579,287447.000,44601,3,AY,1,100,-0.061
1752617372.877579,287487.000,44619,2,AY,1,100,-0.061
1752617372.917579,287527.000,44619,2,AY,1,100,-0.057
1752617372.957579,287567.000,44635,3,AY,1,100,-0.061
1752617372.997579,287607.000,44635,3,AY,1,100,-0.062
1752617373.037578,287647.000,44635,3,AY,1,100,-0.061
1752617373.077578,287687.000,44652,2,AY,1,100,-0.067
1752617373.117578,287727.000,44652,2,AY,1,100,-0.063
1752617373.157911,287767.333,44666,3,AY,1,100,-0.061
1752617373.198245,287807.667,44666,3,AY,1,100,-0.060
1752617373.238578,287848.000,44666,3,AY,1,100,-0.063
1752617373.278078,287887.500,44684,2,AY,1,100,-0.061
1752617373.317577,287927.000,44684,2,AY,1,100,-0.062
1752617373.357577,287967.000,44700,3,AY,1,100,-0.055
1752617373.397577,288007.000,44700,3,AY,1,100,-0.064
1752617373.437577,288047.000,44700,3,AY,1,100,-0.067
1752617373.477577,288087.000,44717,2,AY,1,100,-0.063
1752617373.517577,288127.000,44717,2,AY,1,100,-0.064
1752617373.557577,288167.000,44732,3,AY,1,100,-0.064
1752617373.597577,288207.000,44732,3,AY,1,100,-0.052
1752617373.637576,288247.000,44732,3,AY,1,100,-0.058
1752617373.677576,288287.000,44749,2,AY,1,100,-0.045
1752617373.717576,288327.000,44749,2,AY,1,100,-0.042
1752617373.757576,288367.000,44767,3,AY,1,100,-0.057
1752617373.797576,288407.000,44767,3,AY,1,100,-0.063
1752617373.837576,288447.000,44767,3,AY,1,100,-0.063
1752617373.877576,288487.000,44785,2,AY,1,100,-0.068
1752617373.917575,288527.000,44785,2,AY,1,100,-0.064
1752617373.957575,288567.000,44799,3,AY,1,100,-0.055
1752617373.997575,288607.000,44799,3,AY,1,100,-0.050
1752617374.037575,288647.000,44799,3,AY,1,100,-0.043
1752617374.077908,288687.333,44816,3,AY,1,100,-0.048
1752617374.118241,288727.667,44816,3,AY,1,100,-0.048
1752617374.158575,288768.000,44816,3,AY,1,100,-0.054
1752617374.198574,288808.000,44832,2,AY,1,100,-0.049
1752617374.238574,288848.000,44832,2,AY,1,100,-0.047
1752617374.278574,288888.000,44850,3,AY,1,100,-0.052
1752617374.318574,288928.000,44850,3,AY,1,100,-0.051
1752617374.358574,288968.000,44850,3,AY,1,100,-0.055
1752617374.398574,289008.000,44865,2,AY,1,100,-0.060
1752617374.438574,289048.000,44865,2,AY,1,100,-0.057
1752617374.478573,289088.000,44883,3,AY,1,100,-0.053
1752617374.518573,289128.000,44883,3,AY,1,100,-0.053
1752617374.558573,289168.000,44883,3,AY,1,100,-0.056
1752617374.598573,289208.000,44900,2,AY,1,100,-0.060
1752617374.638573,289248.000,44900,2,AY,1,100,-0.056
1752617374.678573,289288.000,44917,3,AY,1,100,-0.062
1752617374.718573,289328.000,44917,3,AY,1,100,-0.058
1752617374.758572,289368.000,44917,3,AY,1,100,-0.059
1752617374.798572,289408.000,44933,2,AY,1,100,-0.056
1752617374.838572,289448.000,44933,2,AY,1,100,-0.055
1752617374.878572,289488.000,44949,3,AY,1,100,-0.047
1752617374.918572,289528.000,44949,3,AY,1,100,-0.056
1752617374.958572,289568.000,44949,3,AY,1,100,-0.050
1752617374.998572,289608.000,44965,2,AY,1,100,-0.055
1752617375.038571,289648.000,44965,2,AY,1,100,-0.055
1752617375.078571,289688.000,44984,3,AY,1,100,-0.053
1752617375.118571,289728.000,44984,3,AY,1,100,-0.054
1752617375.158571,289768.000,44984,3,AY,1,100,-0.054
1752617375.198571,289808.000,45001,2,AY,1,100,-0.058
1752617375.238571,289848.000,45001,2,AY,1,100,-0.055
1752617375.278571,289888.000,45016,3,AY,1,100,-0.055
1752617375.318570,289928.000,45016,3,AY,1,100,-0.054
1752617375.358570,289968.000,45016,3,AY,1,100,-0.054
1752617375.398570,290008.000,45032,3,AY,1,100,-0.057
1752617375.438570,290048.000,45032,3,AY,1,100,-0.052
1752617375.478570,290088.000,45032,3,AY,1,100,-0.052
1752617375.518570,290128.000,45049,2,AY,1,100,-0.048
1752617375.558570,290168.000,45049,2,AY,1,100,-0.054
1752617375.598570,290208.000,45066,3,AY,1,100,-0.049
1752617375.638569,290248.000,45066,3,AY,1,100,-0.052
1752617375.678569,290288.000,45066,3,AY,1,100,-0.055
1752617375.718569,290328.000,45081,2,AY,1,100,-0.057
1752617375.758569,290368.000,45081,2,AY,1,100,-0.056
1752617375.793902,290403.333,45097,3,AY,1,100,-0.054
1752617375.829235,290438.667,45097,3,AY,1,100,-0.055
1752617375.864569,290474.000,45097,3,AY,1,100,-0.052
1752617375.904568,290514.000,45115,3,AY,1,100,-0.049
1752617375.944568,290554.000,45115,3,AY,1,100,-0.042
1752617375.984568,290594.000,45115,3,AY,1,100,-0.057
1752617376.024568,290634.000,45131,2,AY,1,100,-0.053
1752617376.064568,290674.000,45131,2,AY,1,100,-0.053
1752617376.104568,290714.000,45146,3,AY,1,100,-0.057
1752617376.144568,290754.000,45146,3,AY,1,100,-0.055
1752617376.184567,290794.000,45146,3,AY,1,100,-0.050
1752617376.224567,290834.000,45165,2,AY,1,100,-0.049
1752617376.264567,290874.000,45165,2,AY,1,100,-0.050
1752617376.304567,290914.000,45182,3,AY,1,100,-0.057
1752617376.344567,290954.000,45182,3,AY,1,100,-0.051
1752617376.384567,290994.000,45182,3,AY,1,100,-0.052
1752617376.424567,291034.000,45198,2,AY,1,100,-0.050
1752617376.464566,291074.000,45198,2,AY,1,100,-0.058
1752617376.504566,291114.000,45214,3,AY,1,100,-0.054
1752617376.544566,291154.000,45214,3,AY,1,100,-0.051
1752617376.584566,291194.000,45214,3,AY,1,100,-0.049
1752617376.624566,291234.000,45230,2,AY,1,100,-0.041
1752617376.664566,291274.000,45230,2,AY,1,100,-0.054
1752617376.704566,291314.000,45247,3,AY,1,100,-0.056
1752617376.744566,291354.000,45247,3,AY,1,100,-0.061
1752617376.784565,291394.000,45247,3,AY,1,100,-0.059
1752617376.824565,291434.000,45265,2,AY,1,100,-0.059
1752617376.864565,291474.000,45265,2,AY,1,100,-0.051
1752617376.904565,291514.000,45282,3,AY,1,100,-0.056
1752617376.944565,291554.000,45282,3,AY,1,100,-0.051
1752617376.984565,291594.000,45282,3,AY,1,100,-0.049
