LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1752794198.199223,578607.000,28344,3,AX,1,100,0.940
1752794198.239223,578647.000,28344,3,AX,1,100,0.940
1752794198.279223,578687.000,28344,3,AX,1,100,0.940
1752794198.319223,578727.000,28360,3,AX,1,100,0.947
1752794198.359224,578767.000,28360,3,AX,1,100,0.942
1752794198.399224,578807.000,28360,3,AX,1,100,0.937
1752794198.438724,578846.500,28377,2,AX,1,100,0.947
1752794198.478224,578886.000,28377,2,AX,1,100,0.939
1752794198.518557,578926.333,28394,3,AX,1,100,0.942
1752794198.558891,578966.667,28394,3,AX,1,100,0.943
1752794198.599224,579007.000,28394,3,AX,1,100,0.943
1752794198.638724,579046.500,28411,2,AX,1,100,0.943
1752794198.678225,579086.000,28411,2,AX,1,100,0.942
1752794198.718225,579126.000,28429,3,AX,1,100,0.943
1752794198.758225,579166.000,28429,3,AX,1,100,0.945
1752794198.798225,579206.000,28429,3,AX,1,100,0.932
1752794198.838225,579246.000,28449,2,AX,1,100,0.930
1752794198.878225,579286.000,28449,2,AX,1,100,0.947
1752794198.918225,579326.000,28465,3,AX,1,100,0.955
1752794198.958225,579366.000,28465,3,AX,1,100,0.945
1752794198.998226,579406.000,28465,3,AX,1,100,0.938
1752794199.038226,579446.000,28480,2,AX,1,100,0.945
1752794199.078226,579486.000,28480,2,AX,1,100,0.932
1752794199.118226,579526.000,28499,3,AX,1,100,0.922
1752794199.158226,579566.000,28499,3,AX,1,100,0.932
1752794199.198226,579606.000,28499,3,AX,1,100,0.946
1752794199.238726,579646.500,28518,2,AX,1,100,0.933
1752794199.279226,579687.000,28518,2,AX,1,100,0.935
1752794199.318893,579726.667,28534,3,AX,1,100,0.954
1752794199.358560,579766.333,28534,3,AX,1,100,0.960
1752794199.398227,579806.000,28534,3,AX,1,100,0.949
1752794199.438227,579846.000,28551,2,AX,1,100,0.935
1752794199.478227,579886.000,28551,2,AX,1,100,0.935
1752794199.514227,579922.000,28568,3,AX,1,100,0.951
1752794199.550227,579958.000,28568,3,AX,1,100,0.956
1752794199.586227,579994.000,28568,3,AX,1,100,0.941
1752794199.626227,580034.000,28585,3,AX,1,100,0.938
1752794199.666228,580074.000,28585,3,AX,1,100,0.937
1752794199.706228,580114.000,28585,3,AX,1,100,0.942
1752794199.746228,580154.000,28603,2,AX,1,100,0.941
1752794199.786228,580194.000,28603,2,AX,1,100,0.943
1752794199.826228,580234.000,28621,3,AX,1,100,0.942
1752794199.866228,580274.000,28621,3,AX,1,100,0.938
1752794199.906228,580314.000,28621,3,AX,1,100,0.941
1752794199.946228,580354.000,28637,2,AX,1,100,0.945
1752794199.986229,580394.000,28637,2,AX,1,100,0.940
1752794200.026229,580434.000,28654,3,AX,1,100,0.940
1752794200.066229,580474.000,28654,3,AX,1,100,0.944
1752794200.106229,580514.000,28654,3,AX,1,100,0.944
1752794200.146229,580554.000,28671,3,AX,1,100,0.944
1752794200.186229,580594.000,28671,3,AX,1,100,0.937
1752794200.226229,580634.000,28671,3,AX,1,100,0.945
1752794200.266229,580674.000,28687,2,AX,1,100,0.941
1752794200.306230,580714.000,28687,2,AX,1,100,0.942
1752794200.346230,580754.000,28702,3,AX,1,100,0.941
1752794200.386230,580794.000,28702,3,AX,1,100,0.936
1752794200.426230,580834.000,28702,3,AX,1,100,0.945
1752794200.466230,580874.000,28724,2,AX,1,100,0.937
1752794200.506230,580914.000,28724,2,AX,1,100,0.944
1752794200.546230,580954.000,28740,3,AX,1,100,0.946
1752794200.586230,580994.000,28740,3,AX,1,100,0.939
1752794200.626231,581034.000,28740,3,AX,1,100,0.939
1752794200.666231,581074.000,28757,2,AX,1,100,0.938
1752794200.706231,581114.000,28757,2,AX,1,100,0.947
1752794200.746231,581154.000,28771,3,AX,1,100,0.948
1752794200.786231,581194.000,28771,3,AX,1,100,0.940
1752794200.826231,581234.000,28771,3,AX,1,100,0.946
1752794200.865731,581273.500,28791,2,AX,1,100,0.934
1752794200.905231,581313.000,28791,2,AX,1,100,0.940
1752794200.945232,581353.000,28807,3,AX,1,100,0.941
1752794200.985232,581393.000,28807,3,AX,1,100,0.938
1752794201.025232,581433.000,28807,3,AX,1,100,0.937
1752794201.065232,581473.000,28835,2,AX,1,100,0.939
1752794201.105232,581513.000,28835,2,AX,1,100,0.942
1752794201.145232,581553.000,28850,3,AX,1,100,0.945
1752794201.185232,581593.000,28850,3,AX,1,100,0.941
1752794201.225232,581633.000,28850,3,AX,1,100,0.943
1752794201.265233,581673.000,28867,3,AX,1,100,0.943
1752794201.305233,581713.000,28867,3,AX,1,100,0.934
1752794201.345233,581753.000,28867,3,AX,1,100,0.941
1752794201.385233,581793.000,28883,2,AX,1,100,0.944
1752794201.425233,581833.000,28883,2,AX,1,100,0.940
1752794201.465233,581873.000,28901,3,AX,1,100,0.947
1752794201.505233,581913.000,28901,3,AX,1,100,0.937
1752794201.545233,581953.000,28901,3,AX,1,100,0.942
1752794201.585234,581993.000,28919,2,AX,1,100,0.942
1752794201.625234,582033.000,28919,2,AX,1,100,0.945
1752794201.665234,582073.000,28936,3,AX,1,100,0.950
1752794201.705234,582113.000,28936,3,AX,1,100,0.948
1752794201.745234,582153.000,28936,3,AX,1,100,0.941
1752794201.785234,582193.000,28952,2,AX,1,100,0.939
1752794201.825234,582233.000,28952,2,AX,1,100,0.944
1752794201.865234,582273.000,28970,3,AX,1,100,0.947
1752794201.905234,582313.000,28970,3,AX,1,100,0.938
1752794201.945235,582353.000,28970,3,AX,1,100,0.936
1752794201.985235,582393.000,28986,2,AX,1,100,0.938
1752794202.025235,582433.000,28986,2,AX,1,100,0.937
1752794202.065235,582473.000,29003,3,AX,1,100,0.939
1752794202.105235,582513.000,29003,3,AX,1,100,0.943
1752794202.145235,582553.000,29003,3,AX,1,100,0.938
1752794202.185235,582593.000,29020,2,AX,1,100,0.931
1752794202.225235,582633.000,29020,2,AX,1,100,0.942
1752794202.265236,582673.000,29039,3,AX,1,100,0.936
1752794202.305236,582713.000,29039,3,AX,1,100,0.931
1752794202.345236,582753.000,29039,3,AX,1,100,0.936
1752794202.385236,582793.000,29054,2,AX,1,100,0.942
1752794202.425236,582833.000,29054,2,AX,1,100,0.949
1752794202.465236,582873.000,29071,3,AX,1,100,0.943
1752794202.505236,582913.000,29071,3,AX,1,100,0.941
1752794202.545236,582953.000,29071,3,AX,1,100,0.938
1752794202.585237,582993.000,29087,3,AX,1,100,0.941
1752794202.625237,583033.000,29087,3,AX,1,100,0.937
1752794202.665237,583073.000,29087,3,AX,1,100,0.933
1752794202.705237,583113.000,29104,2,AX,1,100,0.931
1752794202.745237,583153.000,29104,2,AX,1,100,0.938
1752794202.785237,583193.000,29123,3,AX,1,100,0.939
1752794202.825237,583233.000,29123,3,AX,1,100,0.938
1752794202.865237,583273.000,29123,3,AX,1,100,0.949
1752794202.905238,583313.000,29138,2,AX,1,100,0.949
1752794202.945238,583353.000,29138,2,AX,1,100,0.946
1752794202.985238,583393.000,29156,3,AX,1,100,0.943
1752794203.025238,583433.000,29156,3,AX,1,100,0.935
1752794203.065238,583473.000,29156,3,AX,1,100,0.935
1752794203.105238,583513.000,29173,2,AX,1,100,0.950
1752794203.145238,583553.000,29173,2,AX,1,100,0.948
1752794203.185238,583593.000,29190,3,AX,1,100,0.936
1752794203.225239,583633.000,29190,3,AX,1,100,0.933
1752794203.265239,583673.000,29190,3,AX,1,100,0.934
1752794203.305239,583713.000,29205,2,AX,1,100,0.935
1752794203.345239,583753.000,29205,2,AX,1,100,0.931
1752794203.385239,583793.000,29225,3,AX,1,100,0.939
1752794203.425239,583833.000,29225,3,AX,1,100,0.945
