LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752619991.000332,496772.000,13235,1,BV,1,100,3.69
1752619996.000374,501772.000,14089,1,BV,1,100,3.69
1752620000.999416,506771.000,14923,1,BV,1,100,3.68
1752620005.999458,511771.000,15764,1,BV,1,100,3.68
1752620010.998500,516770.000,16607,1,BV,1,100,3.68
1752620015.998542,521770.000,17475,1,BV,1,100,3.68
1752620020.997583,526769.000,18326,1,BV,1,100,3.68
1752620025.997625,531769.000,19171,1,BV,1,100,3.68
1752620030.996667,536768.000,20033,1,BV,1,100,3.69
1752620035.996709,541768.000,20387,1,BV,1,100,3.68
1752620040.995751,546767.000,21255,1,BV,1,100,3.68
1752620045.995793,551767.000,22111,1,BV,1,100,3.68
1752620050.994835,556766.000,22959,1,BV,1,100,3.68
1752620055.994877,561766.000,23813,1,BV,1,100,3.69
1752620060.993918,566765.000,24645,1,BV,1,100,3.68
1752620065.993960,571765.000,25466,1,BV,1,100,3.69
1752620070.993002,576764.000,26282,1,BV,1,100,3.68
1752620075.993044,581764.000,27106,1,BV,1,100,3.69
1752620080.992086,586763.000,27929,1,BV,1,100,3.69
1752620085.992128,591763.000,28751,1,BV,1,100,3.69
1752620090.991170,596762.000,29574,1,BV,1,100,3.69
1752620095.991212,601762.000,30397,1,BV,1,100,3.69
1752620100.990254,606761.000,31219,1,BV,1,100,3.69
1752620105.990295,611761.000,32044,1,BV,1,100,3.68
1752620110.989337,616760.000,32865,1,BV,1,100,3.69
1752620115.989379,621760.000,33689,1,BV,1,100,3.69
1752620120.988421,626759.000,34501,1,BV,1,100,3.69
1752620125.988463,631759.000,35325,1,BV,1,100,3.68
1752620130.987505,636758.000,36132,1,BV,1,100,3.69
1752620135.987547,641758.000,36952,1,BV,1,100,3.69
1752620140.986589,646757.000,37778,1,BV,1,100,3.69
1752620145.986630,651757.000,38602,1,BV,1,100,3.69
1752620150.985672,656756.000,39424,1,BV,1,100,3.69
1752620155.985714,661756.000,40246,1,BV,1,100,3.69
1752620160.984756,666755.000,41053,1,BV,1,100,3.69
1752620165.984798,671755.000,41876,1,BV,1,100,3.69
1752620170.983840,676754.000,42701,1,BV,1,100,3.69
1752620175.983882,681754.000,43523,1,BV,1,100,3.69
1752620180.982924,686753.000,44345,1,BV,1,100,3.69
1752620185.982965,691753.000,45150,1,BV,1,100,3.69
1752620190.982007,696752.000,45973,1,BV,1,100,3.69
1752620195.982049,701752.000,46798,1,BV,1,100,3.69
