LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752703220.840504,499524.000,14412,2,PI,1,100,146120
1752703220.880504,499564.000,14412,2,PI,1,100,146128
1752703220.920171,499603.667,14433,3,PI,1,100,146131
1752703220.959837,499643.333,14433,3,PI,1,100,146164
1752703220.999504,499683.000,14433,3,PI,1,100,146177
1752703221.039504,499723.000,14447,3,PI,1,100,146197
1752703221.079504,499763.000,14447,3,PI,1,100,146236
1752703221.119504,499803.000,14447,3,PI,1,100,146259
1752703221.159504,499843.000,14465,2,PI,1,100,146217
1752703221.199504,499883.000,14465,2,PI,1,100,146141
1752703221.239505,499923.000,14481,3,PI,1,100,146099
1752703221.279505,499963.000,14481,3,PI,1,100,146083
1752703221.319505,500003.000,14481,3,PI,1,100,146092
1752703221.359505,500043.000,14498,2,PI,1,100,146102
1752703221.399505,500083.000,14498,2,PI,1,100,146119
1752703221.439505,500123.000,14515,3,PI,1,100,146132
1752703221.479505,500163.000,14515,3,PI,1,100,146150
1752703221.519505,500203.000,14515,3,PI,1,100,146169
1752703221.559505,500243.000,14532,2,PI,1,100,146213
1752703221.599505,500283.000,14532,2,PI,1,100,146231
1752703221.639505,500323.000,14548,3,PI,1,100,146254
1752703221.679506,500363.000,14548,3,PI,1,100,146285
1752703221.719506,500403.000,14548,3,PI,1,100,146312
1752703221.760006,500443.500,14565,2,PI,1,100,146272
1752703221.800506,500484.000,14565,2,PI,1,100,146194
1752703221.840173,500523.667,14582,3,PI,1,100,146139
1752703221.879839,500563.333,14582,3,PI,1,100,146129
1752703221.919506,500603.000,14582,3,PI,1,100,146092
1752703221.959506,500643.000,14599,2,PI,1,100,146083
1752703221.999506,500683.000,14599,2,PI,1,100,146087
1752703222.039506,500723.000,14615,3,PI,1,100,146089
1752703222.079507,500763.000,14615,3,PI,1,100,146063
1752703222.119507,500803.000,14615,3,PI,1,100,146068
1752703222.159507,500843.000,14633,3,PI,1,100,146090
1752703222.199507,500883.000,14633,3,PI,1,100,146109
1752703222.239507,500923.000,14633,3,PI,1,100,146112
1752703222.279507,500963.000,14651,2,PI,1,100,146168
1752703222.319507,501003.000,14651,2,PI,1,100,146171
1752703222.359507,501043.000,14668,3,PI,1,100,146176
1752703222.399507,501083.000,14668,3,PI,1,100,146201
1752703222.439507,501123.000,14668,3,PI,1,100,146129
1752703222.479507,501163.000,14685,2,PI,1,100,146026
1752703222.519508,501203.000,14685,2,PI,1,100,145966
1752703222.559508,501243.000,14702,3,PI,1,100,145926
1752703222.599508,501283.000,14702,3,PI,1,100,145898
1752703222.639508,501323.000,14702,3,PI,1,100,145899
1752703222.679508,501363.000,14717,2,PI,1,100,145906
1752703222.719508,501403.000,14717,2,PI,1,100,145923
1752703222.759508,501443.000,14735,3,PI,1,100,145936
1752703222.799508,501483.000,14735,3,PI,1,100,145952
1752703222.839508,501523.000,14735,3,PI,1,100,145979
1752703222.879508,501563.000,14754,2,PI,1,100,146006
1752703222.919508,501603.000,14754,2,PI,1,100,146030
1752703222.959509,501643.000,14771,3,PI,1,100,146063
1752703222.999509,501683.000,14771,3,PI,1,100,146065
1752703223.039509,501723.000,14771,3,PI,1,100,146107
1752703223.079509,501763.000,14786,2,PI,1,100,146166
1752703223.119509,501803.000,14786,2,PI,1,100,146155
1752703223.159509,501843.000,14805,3,PI,1,100,146056
1752703223.199509,501883.000,14805,3,PI,1,100,145994
1752703223.239509,501923.000,14805,3,PI,1,100,145950
1752703223.279509,501963.000,14821,2,PI,1,100,145914
1752703223.319509,502003.000,14821,2,PI,1,100,145906
1752703223.359509,502043.000,14838,3,PI,1,100,145921
1752703223.399510,502083.000,14838,3,PI,1,100,145907
1752703223.439510,502123.000,14838,3,PI,1,100,145926
1752703223.479510,502163.000,14857,3,PI,1,100,145960
1752703223.519510,502203.000,14857,3,PI,1,100,145980
1752703223.559510,502243.000,14857,3,PI,1,100,146004
1752703223.599510,502283.000,14872,2,PI,1,100,146028
1752703223.639510,502323.000,14872,2,PI,1,100,146068
1752703223.679510,502363.000,14890,3,PI,1,100,146100
1752703223.719510,502403.000,14890,3,PI,1,100,146117
1752703223.759510,502443.000,14890,3,PI,1,100,146145
1752703223.799510,502483.000,14908,2,PI,1,100,146187
1752703223.839511,502523.000,14908,2,PI,1,100,146206
1752703223.879511,502563.000,14924,3,PI,1,100,146143
1752703223.919511,502603.000,14924,3,PI,1,100,146028
1752703223.959511,502643.000,14924,3,PI,1,100,145968
1752703223.999511,502683.000,14939,2,PI,1,100,145956
1752703224.039511,502723.000,14939,2,PI,1,100,145908
1752703224.079511,502763.000,14957,3,PI,1,100,145935
1752703224.119511,502803.000,14957,3,PI,1,100,145957
1752703224.159511,502843.000,14957,3,PI,1,100,145951
1752703224.199511,502883.000,14975,2,PI,1,100,145944
1752703224.239512,502923.000,14975,2,PI,1,100,145967
1752703224.286012,502969.500,14993,2,PI,1,100,146011
1752703224.332512,503016.000,14993,2,PI,1,100,146018
1752703224.372512,503056.000,15008,3,PI,1,100,146061
1752703224.412512,503096.000,15008,3,PI,1,100,146125
1752703224.452512,503136.000,15008,3,PI,1,100,146159
1752703224.492512,503176.000,15025,3,PI,1,100,146192
1752703224.532512,503216.000,15025,3,PI,1,100,146192
1752703224.572512,503256.000,15025,3,PI,1,100,146120
1752703224.612512,503296.000,15042,2,PI,1,100,146038
1752703224.652512,503336.000,15042,2,PI,1,100,146008
1752703224.692513,503376.000,15058,3,PI,1,100,146021
1752703224.732513,503416.000,15058,3,PI,1,100,146042
1752703224.772513,503456.000,15058,3,PI,1,100,146058
1752703224.812513,503496.000,15074,2,PI,1,100,146071
1752703224.852513,503536.000,15074,2,PI,1,100,146087
1752703224.892513,503576.000,15092,3,PI,1,100,146094
1752703224.932513,503616.000,15092,3,PI,1,100,146133
1752703224.972513,503656.000,15092,3,PI,1,100,146156
1752703225.012513,503696.000,15114,2,PI,1,100,146196
1752703225.052513,503736.000,15114,2,PI,1,100,146206
1752703225.092513,503776.000,15130,3,PI,1,100,146236
1752703225.132514,503816.000,15130,3,PI,1,100,146260
1752703225.172514,503856.000,15130,3,PI,1,100,146280
1752703225.212514,503896.000,15147,2,PI,1,100,146271
1752703225.252514,503936.000,15147,2,PI,1,100,146182
1752703225.292514,503976.000,15162,3,PI,1,100,146105
1752703225.332514,504016.000,15162,3,PI,1,100,146087
1752703225.372514,504056.000,15162,3,PI,1,100,146044
1752703225.412514,504096.000,15179,2,PI,1,100,146037
1752703225.452514,504136.000,15179,2,PI,1,100,146067
1752703225.492514,504176.000,15198,3,PI,1,100,146066
1752703225.532514,504216.000,15198,3,PI,1,100,146079
1752703225.572515,504256.000,15198,3,PI,1,100,146087
1752703225.612515,504296.000,15217,2,PI,1,100,146126
1752703225.652515,504336.000,15217,2,PI,1,100,146135
1752703225.692515,504376.000,15231,3,PI,1,100,146155
1752703225.732515,504416.000,15231,3,PI,1,100,146186
1752703225.772515,504456.000,15231,3,PI,1,100,146213
1752703225.812515,504496.000,15249,2,PI,1,100,146259
1752703225.852515,504536.000,15249,2,PI,1,100,146280
1752703225.892515,504576.000,15265,3,PI,1,100,146241
1752703225.932515,504616.000,15265,3,PI,1,100,146158
1752703225.972516,504656.000,15265,3,PI,1,100,146091
1752703226.012516,504696.000,15282,3,PI,1,100,146056
1752703226.052516,504736.000,15282,3,PI,1,100,146042
1752703226.092516,504776.000,15282,3,PI,1,100,146033
1752703226.132516,504816.000,15297,2,PI,1,100,146074
1752703226.172516,504856.000,15297,2,PI,1,100,146066
1752703226.212516,504896.000,15314,3,PI,1,100,146072
1752703226.252516,504936.000,15314,3,PI,1,100,146094
1752703226.292516,504976.000,15314,3,PI,1,100,146107
1752703226.332516,505016.000,15334,2,PI,1,100,146139
1752703226.372516,505056.000,15334,2,PI,1,100,146163
1752703226.412517,505096.000,15351,3,PI,1,100,146188
1752703226.452517,505136.000,15351,3,PI,1,100,146199
1752703226.492517,505176.000,15351,3,PI,1,100,146253
1752703226.532517,505216.000,15366,2,PI,1,100,146259
1752703226.572517,505256.000,15366,2,PI,1,100,146205
1752703226.612517,505296.000,15383,3,PI,1,100,146093
1752703226.652517,505336.000,15383,3,PI,1,100,146053
1752703226.692517,505376.000,15383,3,PI,1,100,146023
1752703226.732517,505416.000,15399,2,PI,1,100,146007
1752703226.772517,505456.000,15399,2,PI,1,100,146014
1752703226.812517,505496.000,15417,3,PI,1,100,146033
1752703226.852518,505536.000,15417,3,PI,1,100,146042
1752703226.892518,505576.000,15417,3,PI,1,100,146047
1752703226.932518,505616.000,15431,2,PI,1,100,146062
1752703226.972518,505656.000,15431,2,PI,1,100,146092
1752703227.012518,505696.000,15452,3,PI,1,100,146140
1752703227.052518,505736.000,15452,3,PI,1,100,146146
1752703227.092518,505776.000,15452,3,PI,1,100,146180
1752703227.132518,505816.000,15469,2,PI,1,100,146208
1752703227.172518,505856.000,15469,2,PI,1,100,146213
1752703227.212518,505896.000,15486,3,PI,1,100,146142
1752703227.252518,505936.000,15486,3,PI,1,100,146079
1752703227.292519,505976.000,15486,3,PI,1,100,146052
1752703227.332519,506016.000,15500,2,PI,1,100,146009
1752703227.372519,506056.000,15500,2,PI,1,100,146010
1752703227.412519,506096.000,15517,3,PI,1,100,146043
1752703227.452519,506136.000,15517,3,PI,1,100,146037
1752703227.492519,506176.000,15517,3,PI,1,100,146027
1752703227.532519,506216.000,15536,3,PI,1,100,146043
1752703227.572519,506256.000,15536,3,PI,1,100,146068
1752703227.612519,506296.000,15536,3,PI,1,100,146095
1752703227.652519,506336.000,15553,2,PI,1,100,146081
1752703227.692519,506376.000,15553,2,PI,1,100,146141
1752703227.732520,506416.000,15570,3,PI,1,100,146173
1752703227.772520,506456.000,15570,3,PI,1,100,146166
1752703227.812520,506496.000,15570,3,PI,1,100,146099
1752703227.852520,506536.000,15587,2,PI,1,100,146012
1752703227.892520,506576.000,15587,2,PI,1,100,145994
1752703227.932520,506616.000,15603,3,PI,1,100,145984
1752703227.972520,506656.000,15603,3,PI,1,100,145970
1752703228.012520,506696.000,15603,3,PI,1,100,145982
1752703228.052520,506736.000,15620,2,PI,1,100,145980
1752703228.092520,506776.000,15620,2,PI,1,100,145974
1752703228.132520,506816.000,15641,3,PI,1,100,145999
1752703228.172521,506856.000,15641,3,PI,1,100,146033
1752703228.212521,506896.000,15641,3,PI,1,100,146072
1752703228.252521,506936.000,15658,2,PI,1,100,146090
1752703228.292521,506976.000,15658,2,PI,1,100,146114
1752703228.332521,507016.000,15674,3,PI,1,100,146148
1752703228.372521,507056.000,15674,3,PI,1,100,146173
1752703228.412521,507096.000,15674,3,PI,1,100,146180
1752703228.452521,507136.000,15692,2,PI,1,100,146115
1752703228.492521,507176.000,15692,2,PI,1,100,146038
1752703228.532521,507216.000,15708,3,PI,1,100,145995
1752703228.572522,507256.000,15708,3,PI,1,100,145945
1752703228.612522,507296.000,15708,3,PI,1,100,145927
1752703228.652522,507336.000,15725,2,PI,1,100,145937
1752703228.692522,507376.000,15725,2,PI,1,100,145929
1752703228.732522,507416.000,15741,3,PI,1,100,145953
1752703228.772522,507456.000,15741,3,PI,1,100,145942
1752703228.812522,507496.000,15741,3,PI,1,100,145978
1752703228.852522,507536.000,15761,3,PI,1,100,146016
1752703228.892522,507576.000,15761,3,PI,1,100,146032
1752703228.932522,507616.000,15761,3,PI,1,100,146087
1752703228.972522,507656.000,15777,2,PI,1,100,146092
1752703229.012523,507696.000,15777,2,PI,1,100,146115
1752703229.059023,507742.500,15794,2,PI,1,100,146151
1752703229.105523,507789.000,15794,2,PI,1,100,146161
1752703229.145523,507829.000,15811,3,PI,1,100,146077
1752703229.185523,507869.000,15811,3,PI,1,100,146004
1752703229.225523,507909.000,15811,3,PI,1,100,145943
1752703229.265523,507949.000,15828,2,PI,1,100,145907
1752703229.305523,507989.000,15828,2,PI,1,100,145900
1752703229.345523,508029.000,15844,3,PI,1,100,145906
1752703229.385523,508069.000,15844,3,PI,1,100,145928
1752703229.425523,508109.000,15844,3,PI,1,100,145940
1752703229.465524,508149.000,15860,2,PI,1,100,145968
1752703229.505524,508189.000,15860,2,PI,1,100,145992
1752703229.545524,508229.000,15880,3,PI,1,100,146010
1752703229.585524,508269.000,15880,3,PI,1,100,146038
1752703229.625524,508309.000,15880,3,PI,1,100,146058
1752703229.665524,508349.000,15897,2,PI,1,100,146085
1752703229.705524,508389.000,15897,2,PI,1,100,146128
1752703229.745524,508429.000,15915,3,PI,1,100,146154
1752703229.785524,508469.000,15915,3,PI,1,100,146177
1752703229.825524,508509.000,15915,3,PI,1,100,146210
1752703229.865525,508549.000,15932,3,PI,1,100,146162
1752703229.905525,508589.000,15932,3,PI,1,100,146053
1752703229.945525,508629.000,15932,3,PI,1,100,145986
1752703229.985525,508669.000,15947,2,PI,1,100,145978
1752703230.025525,508709.000,15947,2,PI,1,100,145957
1752703230.065525,508749.000,15964,3,PI,1,100,145960
1752703230.105525,508789.000,15964,3,PI,1,100,145979
1752703230.145525,508829.000,15964,3,PI,1,100,145985
1752703230.185525,508869.000,15986,2,PI,1,100,145982
1752703230.225525,508909.000,15986,2,PI,1,100,145998
1752703230.265525,508949.000,16004,3,PI,1,100,146041
1752703230.305526,508989.000,16004,3,PI,1,100,146063
1752703230.345526,509029.000,16004,3,PI,1,100,146073
1752703230.385526,509069.000,16019,2,PI,1,100,146121
1752703230.425526,509109.000,16019,2,PI,1,100,146133
1752703230.465526,509149.000,16039,3,PI,1,100,146163
1752703230.505526,509189.000,16039,3,PI,1,100,146178
1752703230.545526,509229.000,16039,3,PI,1,100,146124
1752703230.585526,509269.000,16055,2,PI,1,100,146055
1752703230.625526,509309.000,16055,2,PI,1,100,146028
1752703230.665526,509349.000,16072,3,PI,1,100,146004
1752703230.705526,509389.000,16072,3,PI,1,100,146000
1752703230.745527,509429.000,16072,3,PI,1,100,146011
1752703230.785527,509469.000,16087,2,PI,1,100,146021
1752703230.825527,509509.000,16087,2,PI,1,100,146018
1752703230.865527,509549.000,16106,3,PI,1,100,146028
1752703230.905527,509589.000,16106,3,PI,1,100,146063
1752703230.945527,509629.000,16106,3,PI,1,100,146108
1752703230.985527,509669.000,16122,2,PI,1,100,146156
1752703231.025527,509709.000,16122,2,PI,1,100,146185
1752703231.065527,509749.000,16139,3,PI,1,100,146193
1752703231.105527,509789.000,16139,3,PI,1,100,146208
1752703231.145527,509829.000,16139,3,PI,1,100,146231
1752703231.185528,509869.000,16156,2,PI,1,100,146245
1752703231.225528,509909.000,16156,2,PI,1,100,146154
1752703231.265528,509949.000,16173,3,PI,1,100,146074
1752703231.305528,509989.000,16173,3,PI,1,100,146056
1752703231.345528,510029.000,16173,3,PI,1,100,146032
1752703231.385528,510069.000,16191,3,PI,1,100,146010
1752703231.425528,510109.000,16191,3,PI,1,100,146029
1752703231.465528,510149.000,16191,3,PI,1,100,146042
1752703231.505528,510189.000,16209,2,PI,1,100,146056
1752703231.545528,510229.000,16209,2,PI,1,100,146080
1752703231.585528,510269.000,16225,3,PI,1,100,146111
1752703231.625529,510309.000,16225,3,PI,1,100,146156
1752703231.665529,510349.000,16225,3,PI,1,100,146194
1752703231.705529,510389.000,16242,2,PI,1,100,146217
1752703231.745529,510429.000,16242,2,PI,1,100,146252
1752703231.785529,510469.000,16261,3,PI,1,100,146280
1752703231.825529,510509.000,16261,3,PI,1,100,146332
1752703231.865529,510549.000,16261,3,PI,1,100,146361
1752703231.905529,510589.000,16278,2,PI,1,100,146340
1752703231.945529,510629.000,16278,2,PI,1,100,146254
1752703231.985529,510669.000,16292,3,PI,1,100,146198
1752703232.025529,510709.000,16292,3,PI,1,100,146133
1752703232.065530,510749.000,16292,3,PI,1,100,146105
1752703232.105530,510789.000,16309,2,PI,1,100,146115
1752703232.145530,510829.000,16309,2,PI,1,100,146130
1752703232.185530,510869.000,16328,3,PI,1,100,146118
1752703232.225530,510909.000,16328,3,PI,1,100,146140
1752703232.265530,510949.000,16328,3,PI,1,100,146157
1752703232.305530,510989.000,16347,2,PI,1,100,146180
1752703232.345530,511029.000,16347,2,PI,1,100,146191
1752703232.385530,511069.000,16364,3,PI,1,100,146226
1752703232.425530,511109.000,16364,3,PI,1,100,146248
1752703232.465531,511149.000,16364,3,PI,1,100,146274
1752703232.505531,511189.000,16381,2,PI,1,100,146306
1752703232.545531,511229.000,16381,2,PI,1,100,146345
1752703232.585531,511269.000,16397,3,PI,1,100,146379
1752703232.625531,511309.000,16397,3,PI,1,100,146376
1752703232.665531,511349.000,16397,3,PI,1,100,146326
1752703232.705531,511389.000,16414,3,PI,1,100,146239
1752703232.745531,511429.000,16414,3,PI,1,100,146178
1752703232.785531,511469.000,16414,3,PI,1,100,146140
1752703232.825531,511509.000,16431,2,PI,1,100,146148
1752703232.865531,511549.000,16431,2,PI,1,100,146146
1752703232.905532,511589.000,16448,3,PI,1,100,146143
1752703232.945532,511629.000,16448,3,PI,1,100,146160
1752703232.985532,511669.000,16448,3,PI,1,100,146161
1752703233.025532,511709.000,16464,2,PI,1,100,146194
1752703233.065532,511749.000,16464,2,PI,1,100,146233
1752703233.105532,511789.000,16484,3,PI,1,100,146271
1752703233.145532,511829.000,16484,3,PI,1,100,146291
1752703233.185532,511869.000,16484,3,PI,1,100,146300
1752703233.225532,511909.000,16502,2,PI,1,100,146318
1752703233.265532,511949.000,16502,2,PI,1,100,146357
1752703233.305532,511989.000,16517,3,PI,1,100,146414
1752703233.345533,512029.000,16517,3,PI,1,100,146429
1752703233.385533,512069.000,16517,3,PI,1,100,146368
1752703233.425533,512109.000,16533,2,PI,1,100,146297
1752703233.465533,512149.000,16533,2,PI,1,100,146236
1752703233.505533,512189.000,16553,3,PI,1,100,146200
1752703233.545533,512229.000,16553,3,PI,1,100,146182
1752703233.585533,512269.000,16553,3,PI,1,100,146179
1752703233.625533,512309.000,16569,2,PI,1,100,146205
1752703233.665533,512349.000,16569,2,PI,1,100,146220
1752703233.705533,512389.000,16586,3,PI,1,100,146242
1752703233.745533,512429.000,16586,3,PI,1,100,146285
1752703233.785534,512469.000,16586,3,PI,1,100,146309
1752703233.825534,512509.000,16603,3,PI,1,100,146338
1752703233.865534,512549.000,16603,3,PI,1,100,146372
1752703233.905534,512589.000,16603,3,PI,1,100,146408
1752703233.952034,512635.500,16620,2,PI,1,100,146436
1752703233.998534,512682.000,16620,2,PI,1,100,146454
1752703234.038534,512722.000,16636,2,PI,1,100,146465
1752703234.078534,512762.000,16636,2,PI,1,100,146393
1752703234.118534,512802.000,16654,3,PI,1,100,146322
1752703234.158534,512842.000,16654,3,PI,1,100,146282
1752703234.198535,512882.000,16654,3,PI,1,100,146257
1752703234.238535,512922.000,16670,2,PI,1,100,146271
1752703234.278535,512962.000,16670,2,PI,1,100,146274
1752703234.318535,513002.000,16687,3,PI,1,100,146279
1752703234.358535,513042.000,16687,3,PI,1,100,146302
1752703234.398535,513082.000,16687,3,PI,1,100,146326
1752703234.438535,513122.000,16707,2,PI,1,100,146360
1752703234.478535,513162.000,16707,2,PI,1,100,146366
1752703234.518535,513202.000,16724,3,PI,1,100,146389
1752703234.558535,513242.000,16724,3,PI,1,100,146442
1752703234.598535,513282.000,16724,3,PI,1,100,146460
1752703234.638536,513322.000,16739,2,PI,1,100,146503
1752703234.678536,513362.000,16739,2,PI,1,100,146541
1752703234.718536,513402.000,16758,3,PI,1,100,146502
1752703234.758536,513442.000,16758,3,PI,1,100,146393
1752703234.798536,513482.000,16758,3,PI,1,100,146328
1752703234.838536,513522.000,16775,3,PI,1,100,146289
1752703234.878536,513562.000,16775,3,PI,1,100,146272
1752703234.918536,513602.000,16775,3,PI,1,100,146274
1752703234.958536,513642.000,16792,2,PI,1,100,146281
1752703234.998536,513682.000,16792,2,PI,1,100,146303
1752703235.038536,513722.000,16806,3,PI,1,100,146304
1752703235.078537,513762.000,16806,3,PI,1,100,146323
1752703235.118537,513802.000,16806,3,PI,1,100,146355
1752703235.158537,513842.000,16828,2,PI,1,100,146371
1752703235.198537,513882.000,16828,2,PI,1,100,146394
1752703235.238537,513922.000,16849,3,PI,1,100,146427
1752703235.278537,513962.000,16849,3,PI,1,100,146451
1752703235.318537,514002.000,16849,3,PI,1,100,146462
1752703235.358537,514042.000,16866,2,PI,1,100,146483
1752703235.398537,514082.000,16866,2,PI,1,100,146437
1752703235.438537,514122.000,16883,3,PI,1,100,146366
1752703235.478537,514162.000,16883,3,PI,1,100,146325
1752703235.518538,514202.000,16883,3,PI,1,100,146263
1752703235.558538,514242.000,16900,2,PI,1,100,146257
1752703235.598538,514282.000,16900,2,PI,1,100,146257
1752703235.638538,514322.000,16918,3,PI,1,100,146269
1752703235.678538,514362.000,16918,3,PI,1,100,146285
1752703235.718538,514402.000,16918,3,PI,1,100,146295
1752703235.758538,514442.000,16937,3,PI,1,100,146303
1752703235.798538,514482.000,16937,3,PI,1,100,146355
1752703235.838538,514522.000,16937,3,PI,1,100,146418
1752703235.878538,514562.000,16952,2,PI,1,100,146433
1752703235.918538,514602.000,16952,2,PI,1,100,146449
1752703235.958539,514642.000,16971,3,PI,1,100,146476
1752703235.998539,514682.000,16971,3,PI,1,100,146499
1752703236.038539,514722.000,16971,3,PI,1,100,146545
1752703236.078539,514762.000,16987,2,PI,1,100,146548
1752703236.118539,514802.000,16987,2,PI,1,100,146468
1752703236.158539,514842.000,17005,3,PI,1,100,146402
