LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
-5.493331705679495e-06,-0.0008487197485274818,-6.225775933103427e-05,-0.001170995208594012,0.0
-2.0142216254158147e-05,-0.0076522110660115356,-0.0002737510299996948,-0.007025055696279793,0.008
1.5564439832758568e-05,-0.002309030426953947,-9.247108371227149e-05,-0.0021222571489608443,0.016
-1.6479995117038484e-05,-0.008964201788384654,-0.0004165776543473616,-0.009138157292397838,0.024
9.155552842799157e-07,-0.004325083162938322,-0.00010254219183935057,-0.0036027100436414683,0.032
-2.838221381267739e-05,-0.007885677663502915,-0.0004806665242469557,-0.009192175054170353,0.04
-1.5564439832758568e-05,-0.0053550828577532275,-0.0002645954771568956,-0.005747856074709311,0.048
-3.47911008026368e-05,-0.009608752708517715,-0.00039826654866176336,-0.009408246101260414,0.056
-7.324442274239325e-06,-0.004226203192236091,-1.5564439832758568e-05,-0.0025251014740440077,0.064
-3.387554551835688e-05,-0.006316415906247139,-0.0005053865169225134,-0.008560441908017212,0.072
9.155552842799157e-07,-0.004413892025513473,-4.4862208929715866e-05,-0.0027530747398297065,0.08
-2.563554795983764e-05,-0.0029270302438428905,-0.000346995452742088,-0.005035554063539536,0.088
-2.0142216254158147e-05,-0.006500442518387402,-7.141331217383343e-05,-0.004514603106784264,0.096
-2.4719992675557722e-05,-0.002791528061769463,-0.0003405865657521286,-0.005286416211432233,0.104
-2.2888882106997894e-05,-0.007558824427014984,-9.247108371227149e-05,-0.005377056184575945,0.112
-4.119998779259621e-05,-0.0068007446516312135,-0.00036072878200628676,-0.00791497543259987,0.12
-2.0142216254158147e-05,-0.007741935483870968,-3.6622211371196624e-05,-0.005225074007385479,0.128
-1.5564439832758568e-05,-0.000737937559129612,-0.0002224799340800195,-0.003222754600665303,0.136
-2.3804437391277807e-05,-0.008735312967314675,-0.0001345866267891476,-0.00662587359233375,0.144
-2.6551103244117554e-05,-0.0034772789696951197,-0.00018860438856166262,-0.004173100985747856,0.152
