LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752778624.551873,501744.000,14427,1,BV,1,100,3.50
1752778629.551900,506744.000,15283,1,BV,1,100,3.50
1752778634.550927,511743.000,16122,1,BV,1,100,3.50
1752778639.550954,516743.000,16959,1,BV,1,100,3.50
1752778644.549981,521742.000,17792,1,BV,1,100,3.50
1752778649.550008,526742.000,18648,1,BV,1,100,3.50
1752778654.549035,531741.000,19498,1,BV,1,100,3.51
1752778659.549061,536741.000,20340,1,BV,1,100,3.50
1752778664.548088,541740.000,21162,1,BV,1,100,3.51
1752778669.548115,546740.000,22028,1,BV,1,100,3.51
1752778674.547142,551739.000,22867,1,BV,1,100,3.51
1752778679.547169,556739.000,23705,1,BV,1,100,3.51
1752778684.546196,561738.000,24551,1,BV,1,100,3.51
1752778689.546223,566738.000,25395,1,BV,1,100,3.51
1752778694.545250,571737.000,26255,1,BV,1,100,3.51
1752778699.545277,576737.000,27106,1,BV,1,100,3.51
1752778704.544304,581736.000,27952,1,BV,1,100,3.51
1752778709.544331,586736.000,28800,1,BV,1,100,3.51
1752778714.543358,591735.000,29668,1,BV,1,100,3.51
1752778719.543384,596735.000,30510,1,BV,1,100,3.51
1752778724.542411,601734.000,31345,1,BV,1,100,3.51
1752778729.542438,606734.000,32121,1,BV,1,100,3.51
1752778734.541465,611733.000,32926,1,BV,1,100,3.51
1752778739.541492,616733.000,33768,1,BV,1,100,3.51
1752778744.540519,621732.000,34566,1,BV,1,100,3.51
1752778749.540546,626732.000,35388,1,BV,1,100,3.51
1752778754.539573,631731.000,36211,1,BV,1,100,3.51
1752778759.539600,636731.000,37035,1,BV,1,100,3.51
1752778764.538627,641730.000,37862,1,BV,1,100,3.51
1752778769.538654,646730.000,38687,1,BV,1,100,3.51
1752778774.537680,651729.000,39491,1,BV,1,100,3.51
1752778779.537707,656729.000,40315,1,BV,1,100,3.51
1752778784.536734,661728.000,41144,1,BV,1,100,3.51
1752778789.536761,666728.000,41967,1,BV,1,100,3.51
1752778794.536788,671728.000,42789,1,BV,1,100,3.51
1752778799.535815,676727.000,43598,1,BV,1,100,3.51
1752778804.534842,681726.000,44417,1,BV,1,100,3.51
1752778809.534869,686726.000,45240,1,BV,1,100,3.51
1752778814.533896,691725.000,46065,1,BV,1,100,3.51
1752778819.533923,696725.000,46887,1,BV,1,100,3.51
1752778824.532950,701724.000,47694,1,BV,1,100,3.52
1752778829.532977,706724.000,48519,1,BV,1,100,3.51
1752778834.532003,711723.000,49342,1,BV,1,100,3.52
1752778839.532030,716723.000,50164,1,BV,1,100,3.51
1752778844.532057,721723.000,50988,1,BV,1,100,3.52
1752778849.531084,726722.000,51791,1,BV,1,100,3.52
1752778854.530111,731721.000,52615,1,BV,1,100,3.52
1752778859.530138,736721.000,53437,1,BV,1,100,3.51
1752778864.529165,741720.000,54262,1,BV,1,100,3.52
1752778869.529192,746720.000,55067,1,BV,1,100,3.52
1752778874.528219,751719.000,55888,1,BV,1,100,3.52
1752778879.528246,756719.000,56714,1,BV,1,100,3.52
1752778884.527273,761718.000,57538,1,BV,1,100,3.52
1752778889.527300,766718.000,58361,1,BV,1,100,3.52
1752778894.526326,771717.000,59181,1,BV,1,100,3.52
1752778899.526353,776717.000,59986,1,BV,1,100,3.52
1752778904.525380,781716.000,60810,1,BV,1,100,3.52
1752778909.525407,786716.000,61632,1,BV,1,100,3.52
1752778914.524434,791715.000,62457,1,BV,1,100,3.53
1752778919.524461,796715.000,63262,1,BV,1,100,3.52
1752778924.523488,801714.000,64081,1,BV,1,100,3.52
1752778929.523515,806714.000,64905,1,BV,1,100,3.52
1752778934.522542,811713.000,145,1,BV,1,100,3.52
1752778939.522569,816713.000,966,1,BV,1,100,3.52
1752778944.521596,821712.000,1788,1,BV,1,100,3.53
1752778949.521622,826712.000,2610,1,BV,1,100,3.53
1752778954.520649,831711.000,3443,1,BV,1,100,3.53
1752778959.520676,836711.000,4265,1,BV,1,100,3.53
1752778964.519703,841710.000,5088,1,BV,1,100,3.53
