LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1752622330.493554,142440.000,21224,3,MY,1,100,140
1752622330.533554,142480.000,21241,2,MY,1,100,139
1752622330.573555,142520.000,21241,2,MY,1,100,139
1752622330.613555,142560.000,21262,3,MY,1,100,139
1752622330.653555,142600.000,21262,3,MY,1,100,139
1752622330.693556,142640.000,21262,3,MY,1,100,139
1752622330.733056,142679.500,21277,2,MY,1,100,139
1752622330.772556,142719.000,21277,2,MY,1,100,139
1752622330.812890,142759.333,21294,3,MY,1,100,140
1752622330.853223,142799.667,21294,3,MY,1,100,139
1752622330.893557,142840.000,21294,3,MY,1,100,139
1752622330.929224,142875.667,21310,3,MY,1,100,139
1752622330.964891,142911.333,21310,3,MY,1,100,139
1752622331.000558,142947.000,21310,3,MY,1,100,139
1752622331.040558,142987.000,21329,2,MY,1,100,139
1752622331.080559,143027.000,21329,2,MY,1,100,139
1752622331.120559,143067.000,21346,3,MY,1,100,139
1752622331.160559,143107.000,21346,3,MY,1,100,138
1752622331.200559,143147.000,21346,3,MY,1,100,141
1752622331.240560,143187.000,21365,2,MY,1,100,140
1752622331.280560,143227.000,21365,2,MY,1,100,139
1752622331.320560,143267.000,21381,3,MY,1,100,141
1752622331.360561,143307.000,21381,3,MY,1,100,141
1752622331.400561,143347.000,21381,3,MY,1,100,139
1752622331.440561,143387.000,21398,3,MY,1,100,140
1752622331.480562,143427.000,21398,3,MY,1,100,140
1752622331.520562,143467.000,21398,3,MY,1,100,140
1752622331.560562,143507.000,21415,2,MY,1,100,139
1752622331.600563,143547.000,21415,2,MY,1,100,140
1752622331.640563,143587.000,21430,3,MY,1,100,140
1752622331.680563,143627.000,21430,3,MY,1,100,139
1752622331.720564,143667.000,21430,3,MY,1,100,140
1752622331.760564,143707.000,21453,3,MY,1,100,139
1752622331.800564,143747.000,21453,3,MY,1,100,140
1752622331.840564,143787.000,21453,3,MY,1,100,141
1752622331.880565,143827.000,21473,3,MY,1,100,139
1752622331.920565,143867.000,21473,3,MY,1,100,139
1752622331.960565,143907.000,21473,3,MY,1,100,140
1752622332.000566,143947.000,21489,2,MY,1,100,140
1752622332.040566,143987.000,21489,2,MY,1,100,139
1752622332.080566,144027.000,21506,3,MY,1,100,139
1752622332.120567,144067.000,21506,3,MY,1,100,141
1752622332.160567,144107.000,21506,3,MY,1,100,140
1752622332.200567,144147.000,21522,2,MY,1,100,139
1752622332.240568,144187.000,21522,2,MY,1,100,140
1752622332.280568,144227.000,21538,3,MY,1,100,139
1752622332.320568,144267.000,21538,3,MY,1,100,139
1752622332.360569,144307.000,21538,3,MY,1,100,139
1752622332.400569,144347.000,21554,2,MY,1,100,140
1752622332.440569,144387.000,21554,2,MY,1,100,139
1752622332.480569,144427.000,21576,3,MY,1,100,140
1752622332.520570,144467.000,21576,3,MY,1,100,139
1752622332.560570,144507.000,21576,3,MY,1,100,141
1752622332.600070,144546.500,21591,2,MY,1,100,140
1752622332.639571,144586.000,21591,2,MY,1,100,140
1752622332.679571,144626.000,21607,3,MY,1,100,139
1752622332.719571,144666.000,21607,3,MY,1,100,139
1752622332.759572,144706.000,21607,3,MY,1,100,140
1752622332.799572,144746.000,21624,3,MY,1,100,140
1752622332.839572,144786.000,21624,3,MY,1,100,140
1752622332.879573,144826.000,21624,3,MY,1,100,139
1752622332.919573,144866.000,21641,2,MY,1,100,139
1752622332.959573,144906.000,21641,2,MY,1,100,140
1752622332.999574,144946.000,21657,3,MY,1,100,139
1752622333.039574,144986.000,21657,3,MY,1,100,140
1752622333.079574,145026.000,21657,3,MY,1,100,139
1752622333.119574,145066.000,21672,2,MY,1,100,139
1752622333.159575,145106.000,21672,2,MY,1,100,140
1752622333.199575,145146.000,21693,3,MY,1,100,139
1752622333.239575,145186.000,21693,3,MY,1,100,141
1752622333.279576,145226.000,21693,3,MY,1,100,139
1752622333.319576,145266.000,21710,2,MY,1,100,139
1752622333.359576,145306.000,21710,2,MY,1,100,141
1752622333.399577,145346.000,21726,3,MY,1,100,139
1752622333.439577,145386.000,21726,3,MY,1,100,139
1752622333.479577,145426.000,21726,3,MY,1,100,140
1752622333.519578,145466.000,21742,2,MY,1,100,139
1752622333.559578,145506.000,21742,2,MY,1,100,138
1752622333.599578,145546.000,21758,3,MY,1,100,139
1752622333.639579,145586.000,21758,3,MY,1,100,139
1752622333.679579,145626.000,21758,3,MY,1,100,140
1752622333.719579,145666.000,21775,2,MY,1,100,140
1752622333.759579,145706.000,21775,2,MY,1,100,138
1752622333.799580,145746.000,21796,3,MY,1,100,138
1752622333.839580,145786.000,21796,3,MY,1,100,138
1752622333.879580,145826.000,21796,3,MY,1,100,139
1752622333.919581,145866.000,21811,2,MY,1,100,139
1752622333.959581,145906.000,21811,2,MY,1,100,139
1752622333.999581,145946.000,21827,3,MY,1,100,138
1752622334.039582,145986.000,21827,3,MY,1,100,138
1752622334.079582,146026.000,21827,3,MY,1,100,138
1752622334.119582,146066.000,21844,3,MY,1,100,139
1752622334.159583,146106.000,21844,3,MY,1,100,139
1752622334.199583,146146.000,21844,3,MY,1,100,139
1752622334.239583,146186.000,21861,2,MY,1,100,139
1752622334.279584,146226.000,21861,2,MY,1,100,139
1752622334.319584,146266.000,21876,3,MY,1,100,138
1752622334.359584,146306.000,21876,3,MY,1,100,139
1752622334.399584,146346.000,21876,3,MY,1,100,138
1752622334.439585,146386.000,21896,2,MY,1,100,140
1752622334.479585,146426.000,21896,2,MY,1,100,139
1752622334.519585,146466.000,21914,3,MY,1,100,140
1752622334.559586,146506.000,21914,3,MY,1,100,139
1752622334.599586,146546.000,21914,3,MY,1,100,140
1752622334.639586,146586.000,21930,2,MY,1,100,139
1752622334.679587,146626.000,21930,2,MY,1,100,139
1752622334.719587,146666.000,21946,3,MY,1,100,139
1752622334.759587,146706.000,21946,3,MY,1,100,139
1752622334.799588,146746.000,21946,3,MY,1,100,139
1752622334.839588,146786.000,21964,2,MY,1,100,140
1752622334.879588,146826.000,21964,2,MY,1,100,140
1752622334.914922,146861.333,21983,3,MY,1,100,140
1752622334.950255,146896.667,21983,3,MY,1,100,139
1752622334.985589,146932.000,21983,3,MY,1,100,140
1752622335.025589,146972.000,21999,3,MY,1,100,139
1752622335.065590,147012.000,21999,3,MY,1,100,140
1752622335.105590,147052.000,21999,3,MY,1,100,140
1752622335.145590,147092.000,22017,2,MY,1,100,139
1752622335.185591,147132.000,22017,2,MY,1,100,140
1752622335.225591,147172.000,22035,3,MY,1,100,139
1752622335.265591,147212.000,22035,3,MY,1,100,139
1752622335.305592,147252.000,22035,3,MY,1,100,139
1752622335.345592,147292.000,22054,2,MY,1,100,139
1752622335.385592,147332.000,22054,2,MY,1,100,138
1752622335.425593,147372.000,22070,3,MY,1,100,139
1752622335.465593,147412.000,22070,3,MY,1,100,139
1752622335.505593,147452.000,22070,3,MY,1,100,139
1752622335.545593,147492.000,22090,2,MY,1,100,140
1752622335.585594,147532.000,22090,2,MY,1,100,139
1752622335.625594,147572.000,22104,3,MY,1,100,140
1752622335.665594,147612.000,22104,3,MY,1,100,139
1752622335.705595,147652.000,22104,3,MY,1,100,140
1752622335.745595,147692.000,22123,2,MY,1,100,140
1752622335.785595,147732.000,22123,2,MY,1,100,141
1752622335.825596,147772.000,22140,3,MY,1,100,141
1752622335.865596,147812.000,22140,3,MY,1,100,142
1752622335.905596,147852.000,22140,3,MY,1,100,141
1752622335.945597,147892.000,22157,2,MY,1,100,142
1752622335.985597,147932.000,22157,2,MY,1,100,142
1752622336.025597,147972.000,22171,3,MY,1,100,142
1752622336.065598,148012.000,22171,3,MY,1,100,141
1752622336.105598,148052.000,22171,3,MY,1,100,142
1752622336.145598,148092.000,22191,3,MY,1,100,141
1752622336.185598,148132.000,22191,3,MY,1,100,142
1752622336.225599,148172.000,22191,3,MY,1,100,141
1752622336.265599,148212.000,22207,2,MY,1,100,142
1752622336.305599,148252.000,22207,2,MY,1,100,141
1752622336.345600,148292.000,22224,3,MY,1,100,143
1752622336.385600,148332.000,22224,3,MY,1,100,143
1752622336.425600,148372.000,22224,3,MY,1,100,143
1752622336.465601,148412.000,22240,2,MY,1,100,143
1752622336.505601,148452.000,22240,2,MY,1,100,143
1752622336.545601,148492.000,22258,3,MY,1,100,143
1752622336.585602,148532.000,22258,3,MY,1,100,142
1752622336.625602,148572.000,22258,3,MY,1,100,142
1752622336.665602,148612.000,22274,2,MY,1,100,143
1752622336.705603,148652.000,22274,2,MY,1,100,142
1752622336.745603,148692.000,22291,3,MY,1,100,143
1752622336.785603,148732.000,22291,3,MY,1,100,143
1752622336.825603,148772.000,22291,3,MY,1,100,142
1752622336.865604,148812.000,22315,3,MY,1,100,141
1752622336.905604,148852.000,22315,3,MY,1,100,142
1752622336.945604,148892.000,22315,3,MY,1,100,141
1752622336.985605,148932.000,22332,2,MY,1,100,142
1752622337.025605,148972.000,22332,2,MY,1,100,143
1752622337.065605,149012.000,22348,3,MY,1,100,142
1752622337.105606,149052.000,22348,3,MY,1,100,141
1752622337.145606,149092.000,22348,3,MY,1,100,143
1752622337.185606,149132.000,22366,2,MY,1,100,142
1752622337.225607,149172.000,22366,2,MY,1,100,142
1752622337.265607,149212.000,22384,3,MY,1,100,143
1752622337.305607,149252.000,22384,3,MY,1,100,142
1752622337.345608,149292.000,22384,3,MY,1,100,143
1752622337.385608,149332.000,22399,2,MY,1,100,141
1752622337.425608,149372.000,22399,2,MY,1,100,142
1752622337.465942,149412.333,22416,3,MY,1,100,143
1752622337.506275,149452.667,22416,3,MY,1,100,142
1752622337.546609,149493.000,22416,3,MY,1,100,142
1752622337.586609,149533.000,22435,2,MY,1,100,141
1752622337.626610,149573.000,22435,2,MY,1,100,141
1752622337.666610,149613.000,22451,3,MY,1,100,142
1752622337.706610,149653.000,22451,3,MY,1,100,141
1752622337.746611,149693.000,22451,3,MY,1,100,142
1752622337.786611,149733.000,22466,2,MY,1,100,143
1752622337.826611,149773.000,22466,2,MY,1,100,142
1752622337.866612,149813.000,22485,3,MY,1,100,142
1752622337.906612,149853.000,22485,3,MY,1,100,143
1752622337.946612,149893.000,22485,3,MY,1,100,142
1752622337.986613,149933.000,22502,3,MY,1,100,142
1752622338.026613,149973.000,22502,3,MY,1,100,143
1752622338.066613,150013.000,22502,3,MY,1,100,142
1752622338.106613,150053.000,22518,2,MY,1,100,142
1752622338.146614,150093.000,22518,2,MY,1,100,142
1752622338.186614,150133.000,22536,3,MY,1,100,143
1752622338.226614,150173.000,22536,3,MY,1,100,143
1752622338.266615,150213.000,22536,3,MY,1,100,142
1752622338.306615,150253.000,22552,2,MY,1,100,143
1752622338.346615,150293.000,22552,2,MY,1,100,142
1752622338.386616,150333.000,22569,3,MY,1,100,143
1752622338.426616,150373.000,22569,3,MY,1,100,143
1752622338.466616,150413.000,22569,3,MY,1,100,142
1752622338.506617,150453.000,22588,2,MY,1,100,142
1752622338.546617,150493.000,22588,2,MY,1,100,141
1752622338.586617,150533.000,22604,3,MY,1,100,142
1752622338.626618,150573.000,22604,3,MY,1,100,142
1752622338.666618,150613.000,22604,3,MY,1,100,143
1752622338.706618,150653.000,22619,2,MY,1,100,142
1752622338.746618,150693.000,22619,2,MY,1,100,142
1752622338.781952,150728.333,22638,3,MY,1,100,143
1752622338.817286,150763.667,22638,3,MY,1,100,143
1752622338.852619,150799.000,22638,3,MY,1,100,143
1752622338.892620,150839.000,22657,3,MY,1,100,143
1752622338.932620,150879.000,22657,3,MY,1,100,142
1752622338.972620,150919.000,22657,3,MY,1,100,143
1752622339.012621,150959.000,22674,2,MY,1,100,143
1752622339.052621,150999.000,22674,2,MY,1,100,143
1752622339.092621,151039.000,22688,3,MY,1,100,143
1752622339.132621,151079.000,22688,3,MY,1,100,142
1752622339.172622,151119.000,22688,3,MY,1,100,142
1752622339.212622,151159.000,22708,2,MY,1,100,141
1752622339.252622,151199.000,22708,2,MY,1,100,142
1752622339.292623,151239.000,22724,3,MY,1,100,142
1752622339.332623,151279.000,22724,3,MY,1,100,143
1752622339.372623,151319.000,22724,3,MY,1,100,142
1752622339.412624,151359.000,22745,2,MY,1,100,142
1752622339.452624,151399.000,22745,2,MY,1,100,142
1752622339.492624,151439.000,22760,3,MY,1,100,143
1752622339.532625,151479.000,22760,3,MY,1,100,141
1752622339.572625,151519.000,22760,3,MY,1,100,142
1752622339.612625,151559.000,22777,2,MY,1,100,142
1752622339.652626,151599.000,22777,2,MY,1,100,143
1752622339.692626,151639.000,22793,3,MY,1,100,143
1752622339.732626,151679.000,22793,3,MY,1,100,142
1752622339.772626,151719.000,22793,3,MY,1,100,142
1752622339.812627,151759.000,22811,2,MY,1,100,142
1752622339.852627,151799.000,22811,2,MY,1,100,142
1752622339.892627,151839.000,22827,3,MY,1,100,143
1752622339.932628,151879.000,22827,3,MY,1,100,143
1752622339.972628,151919.000,22827,3,MY,1,100,143
1752622340.012628,151959.000,22844,3,MY,1,100,143
1752622340.052629,151999.000,22844,3,MY,1,100,143
1752622340.092629,152039.000,22844,3,MY,1,100,142
1752622340.132629,152079.000,22862,2,MY,1,100,141
1752622340.172630,152119.000,22862,2,MY,1,100,143
1752622340.212630,152159.000,22882,3,MY,1,100,143
1752622340.252630,152199.000,22882,3,MY,1,100,142
1752622340.292631,152239.000,22882,3,MY,1,100,143
1752622340.332631,152279.000,22896,2,MY,1,100,143
1752622340.372631,152319.000,22896,2,MY,1,100,143
1752622340.412631,152359.000,22913,3,MY,1,100,143
1752622340.452632,152399.000,22913,3,MY,1,100,142
1752622340.492632,152439.000,22913,3,MY,1,100,143
1752622340.532632,152479.000,22930,2,MY,1,100,142
