LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752703220.212502,498896.000,14306,3,MX,1,100,-115
1752703220.252502,498936.000,14322,2,MX,1,100,-115
1752703220.292502,498976.000,14322,2,MX,1,100,-115
1752703220.332502,499016.000,14341,3,MX,1,100,-114
1752703220.372503,499056.000,14341,3,MX,1,100,-115
1752703220.412503,499096.000,14341,3,MX,1,100,-115
1752703220.452503,499136.000,14356,2,MX,1,100,-114
1752703220.492503,499176.000,14356,2,MX,1,100,-114
1752703220.532503,499216.000,14375,3,MX,1,100,-113
1752703220.572503,499256.000,14375,3,MX,1,100,-114
1752703220.612503,499296.000,14375,3,MX,1,100,-114
1752703220.652503,499336.000,14391,2,MX,1,100,-115
1752703220.692503,499376.000,14391,2,MX,1,100,-114
1752703220.732503,499416.000,14408,3,MX,1,100,-113
1752703220.772503,499456.000,14408,3,MX,1,100,-115
1752703220.812504,499496.000,14408,3,MX,1,100,-115
1752703220.852504,499536.000,14425,2,MX,1,100,-115
1752703220.892504,499576.000,14425,2,MX,1,100,-114
1752703220.932504,499616.000,14444,3,MX,1,100,-113
1752703220.972504,499656.000,14444,3,MX,1,100,-114
1752703221.012504,499696.000,14444,3,MX,1,100,-114
1752703221.052504,499736.000,14460,2,MX,1,100,-113
1752703221.092504,499776.000,14460,2,MX,1,100,-112
1752703221.132504,499816.000,14478,3,MX,1,100,-114
1752703221.172504,499856.000,14478,3,MX,1,100,-113
1752703221.212505,499896.000,14478,3,MX,1,100,-113
1752703221.252505,499936.000,14494,2,MX,1,100,-113
1752703221.292505,499976.000,14494,2,MX,1,100,-114
1752703221.332505,500016.000,14509,3,MX,1,100,-112
1752703221.372505,500056.000,14509,3,MX,1,100,-113
1752703221.412505,500096.000,14509,3,MX,1,100,-113
1752703221.452505,500136.000,14528,3,MX,1,100,-113
1752703221.492505,500176.000,14528,3,MX,1,100,-112
1752703221.532505,500216.000,14528,3,MX,1,100,-111
1752703221.572505,500256.000,14545,2,MX,1,100,-114
1752703221.612505,500296.000,14545,2,MX,1,100,-112
1752703221.652506,500336.000,14561,3,MX,1,100,-112
1752703221.692506,500376.000,14561,3,MX,1,100,-113
1752703221.732506,500416.000,14561,3,MX,1,100,-112
1752703221.772506,500456.000,14576,2,MX,1,100,-112
1752703221.812506,500496.000,14576,2,MX,1,100,-112
1752703221.852506,500536.000,14595,3,MX,1,100,-113
1752703221.892506,500576.000,14595,3,MX,1,100,-112
1752703221.932506,500616.000,14595,3,MX,1,100,-112
1752703221.972506,500656.000,14612,2,MX,1,100,-112
1752703222.012506,500696.000,14612,2,MX,1,100,-112
1752703222.052506,500736.000,14628,3,MX,1,100,-111
1752703222.092507,500776.000,14628,3,MX,1,100,-111
1752703222.132507,500816.000,14628,3,MX,1,100,-111
1752703222.172507,500856.000,14644,2,MX,1,100,-109
1752703222.212507,500896.000,14644,2,MX,1,100,-110
1752703222.252507,500936.000,14664,3,MX,1,100,-109
1752703222.292507,500976.000,14664,3,MX,1,100,-108
1752703222.332507,501016.000,14664,3,MX,1,100,-108
1752703222.372507,501056.000,14681,2,MX,1,100,-108
1752703222.412507,501096.000,14681,2,MX,1,100,-108
1752703222.452507,501136.000,14698,3,MX,1,100,-107
1752703222.492507,501176.000,14698,3,MX,1,100,-106
1752703222.532508,501216.000,14698,3,MX,1,100,-107
1752703222.572508,501256.000,14714,2,MX,1,100,-106
1752703222.612508,501296.000,14714,2,MX,1,100,-105
1752703222.652508,501336.000,14729,3,MX,1,100,-107
1752703222.692508,501376.000,14729,3,MX,1,100,-106
1752703222.732508,501416.000,14729,3,MX,1,100,-105
1752703222.772508,501456.000,14748,2,MX,1,100,-104
1752703222.812508,501496.000,14748,2,MX,1,100,-103
1752703222.852508,501536.000,14767,3,MX,1,100,-105
1752703222.892508,501576.000,14767,3,MX,1,100,-105
1752703222.932508,501616.000,14767,3,MX,1,100,-104
