LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1752621171.776172,75655.000,10406,2,AZ,1,100,0.116
1752621171.816173,75695.000,10422,3,AZ,1,100,0.118
1752621171.856173,75735.000,10422,3,AZ,1,100,0.125
1752621171.896173,75775.000,10422,3,AZ,1,100,0.131
1752621171.936174,75815.000,10438,2,AZ,1,100,0.138
1752621171.976174,75855.000,10438,2,AZ,1,100,0.142
1752621172.016174,75895.000,10454,3,AZ,1,100,0.140
1752621172.056175,75935.000,10454,3,AZ,1,100,0.133
1752621172.096175,75975.000,10454,3,AZ,1,100,0.147
1752621172.136175,76015.000,10473,2,AZ,1,100,0.146
1752621172.176176,76055.000,10473,2,AZ,1,100,0.120
1752621172.216176,76095.000,10491,3,AZ,1,100,0.104
1752621172.256176,76135.000,10491,3,AZ,1,100,0.101
1752621172.296177,76175.000,10491,3,AZ,1,100,0.124
1752621172.336177,76215.000,10510,2,AZ,1,100,0.149
1752621172.376177,76255.000,10510,2,AZ,1,100,0.153
1752621172.416178,76295.000,10525,3,AZ,1,100,0.144
1752621172.456178,76335.000,10525,3,AZ,1,100,0.118
1752621172.496178,76375.000,10525,3,AZ,1,100,0.107
1752621172.536179,76415.000,10542,3,AZ,1,100,0.144
1752621172.576179,76455.000,10542,3,AZ,1,100,0.159
1752621172.616179,76495.000,10542,3,AZ,1,100,0.158
1752621172.656180,76535.000,10561,2,AZ,1,100,0.169
1752621172.696180,76575.000,10561,2,AZ,1,100,0.154
1752621172.736180,76615.000,10578,3,AZ,1,100,0.145
1752621172.776181,76655.000,10578,3,AZ,1,100,0.155
1752621172.816181,76695.000,10578,3,AZ,1,100,0.146
1752621172.856181,76735.000,10592,2,AZ,1,100,0.146
1752621172.896182,76775.000,10592,2,AZ,1,100,0.146
1752621172.936182,76815.000,10612,3,AZ,1,100,0.149
1752621172.976182,76855.000,10612,3,AZ,1,100,0.155
1752621173.016183,76895.000,10612,3,AZ,1,100,0.163
1752621173.056183,76935.000,10630,2,AZ,1,100,0.156
1752621173.096183,76975.000,10630,2,AZ,1,100,0.153
1752621173.136184,77015.000,10647,3,AZ,1,100,0.150
1752621173.176184,77055.000,10647,3,AZ,1,100,0.153
1752621173.216184,77095.000,10647,3,AZ,1,100,0.154
1752621173.256185,77135.000,10661,2,AZ,1,100,0.150
1752621173.296185,77175.000,10661,2,AZ,1,100,0.150
1752621173.336185,77215.000,10679,3,AZ,1,100,0.144
1752621173.376186,77255.000,10679,3,AZ,1,100,0.148
1752621173.416186,77295.000,10679,3,AZ,1,100,0.143
1752621173.451853,77330.667,10697,3,AZ,1,100,0.149
1752621173.487520,77366.333,10697,3,AZ,1,100,0.150
1752621173.523187,77402.000,10697,3,AZ,1,100,0.158
1752621173.563187,77442.000,10714,2,AZ,1,100,0.150
1752621173.603188,77482.000,10714,2,AZ,1,100,0.149
1752621173.643188,77522.000,10729,3,AZ,1,100,0.144
