LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1752172663.883792,269424.000,42720,3,AZ,1,100,0.204
1752172663.883792,269424.000,42720,3,AZ,1,100,0.206
1752172663.883792,269424.000,42720,3,AZ,1,100,0.208
1752172663.923793,269464.000,42739,2,AZ,1,100,0.206
1752172663.963793,269504.000,42739,2,AZ,1,100,0.204
1752172664.003793,269544.000,42754,3,AZ,1,100,0.206
1752172664.043794,269584.000,42754,3,AZ,1,100,0.207
1752172664.083794,269624.000,42754,3,AZ,1,100,0.206
1752172664.119461,269659.667,42771,3,AZ,1,100,0.204
1752172664.155128,269695.333,42771,3,AZ,1,100,0.203
1752172664.190795,269731.000,42771,3,AZ,1,100,0.204
1752172664.230795,269771.000,42787,2,AZ,1,100,0.200
1752172664.270796,269811.000,42787,2,AZ,1,100,0.202
1752172664.310796,269851.000,42805,3,AZ,1,100,0.204
1752172664.350796,269891.000,42805,3,AZ,1,100,0.198
1752172664.390796,269931.000,42805,3,AZ,1,100,0.196
1752172664.430797,269971.000,42822,2,AZ,1,100,0.200
1752172664.470797,270011.000,42822,2,AZ,1,100,0.188
1752172664.510797,270051.000,42838,3,AZ,1,100,0.173
1752172664.550798,270091.000,42838,3,AZ,1,100,0.155
1752172664.590798,270131.000,42838,3,AZ,1,100,0.151
1752172664.630298,270170.500,42854,2,AZ,1,100,0.154
1752172664.669799,270210.000,42854,2,AZ,1,100,0.156
1752172664.709799,270250.000,42874,3,AZ,1,100,0.167
1752172664.749799,270290.000,42874,3,AZ,1,100,0.168
1752172664.789800,270330.000,42874,3,AZ,1,100,0.164
1752172664.829800,270370.000,42890,3,AZ,1,100,0.158
1752172664.869800,270410.000,42890,3,AZ,1,100,0.154
1752172664.909801,270450.000,42890,3,AZ,1,100,0.149
1752172664.949801,270490.000,42905,2,AZ,1,100,0.148
1752172664.989801,270530.000,42905,2,AZ,1,100,0.148
1752172665.029802,270570.000,42924,3,AZ,1,100,0.146
1752172665.069802,270610.000,42924,3,AZ,1,100,0.146
1752172665.109802,270650.000,42924,3,AZ,1,100,0.143
1752172665.149803,270690.000,42941,2,AZ,1,100,0.147
1752172665.189803,270730.000,42941,2,AZ,1,100,0.153
1752172665.229803,270770.000,42957,3,AZ,1,100,0.150
1752172665.269804,270810.000,42957,3,AZ,1,100,0.152
1752172665.309804,270850.000,42957,3,AZ,1,100,0.151
1752172665.349804,270890.000,42973,2,AZ,1,100,0.149
1752172665.389805,270930.000,42973,2,AZ,1,100,0.152
1752172665.429805,270970.000,42989,3,AZ,1,100,0.156
1752172665.469805,271010.000,42989,3,AZ,1,100,0.151
1752172665.509806,271050.000,42989,3,AZ,1,100,0.158
1752172665.549806,271090.000,43006,2,AZ,1,100,0.155
1752172665.589806,271130.000,43006,2,AZ,1,100,0.157
1752172665.629807,271170.000,43025,3,AZ,1,100,0.158
1752172665.669807,271210.000,43025,3,AZ,1,100,0.160
1752172665.709807,271250.000,43025,3,AZ,1,100,0.159
1752172665.749808,271290.000,43040,2,AZ,1,100,0.156
1752172665.789808,271330.000,43040,2,AZ,1,100,0.156
1752172665.829808,271370.000,43056,3,AZ,1,100,0.162
1752172665.869809,271410.000,43056,3,AZ,1,100,0.158
1752172665.909809,271450.000,43056,3,AZ,1,100,0.160
1752172665.949809,271490.000,43073,2,AZ,1,100,0.159
1752172665.989809,271530.000,43073,2,AZ,1,100,0.156
1752172666.029810,271570.000,43090,3,AZ,1,100,0.153
1752172666.069810,271610.000,43090,3,AZ,1,100,0.154
1752172666.109810,271650.000,43090,3,AZ,1,100,0.156
1752172666.149811,271690.000,43107,2,AZ,1,100,0.154
1752172666.189811,271730.000,43107,2,AZ,1,100,0.154
