LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752794198.159223,578567.000,28328,2,AY,1,100,0.002
1752794198.199223,578607.000,28345,3,AY,1,100,-0.001
1752794198.239223,578647.000,28345,3,AY,1,100,0.001
1752794198.279223,578687.000,28345,3,AY,1,100,-0.000
1752794198.319223,578727.000,28361,3,AY,1,100,0.003
1752794198.359224,578767.000,28361,3,AY,1,100,0.003
1752794198.399224,578807.000,28361,3,AY,1,100,0.007
1752794198.438724,578846.500,28378,2,AY,1,100,0.002
1752794198.478224,578886.000,28378,2,AY,1,100,-0.001
1752794198.518557,578926.333,28395,3,AY,1,100,-0.002
1752794198.558891,578966.667,28395,3,AY,1,100,-0.000
1752794198.599224,579007.000,28395,3,AY,1,100,-0.004
1752794198.638724,579046.500,28412,2,AY,1,100,-0.003
1752794198.678225,579086.000,28412,2,AY,1,100,-0.003
1752794198.718225,579126.000,28430,3,AY,1,100,-0.003
1752794198.758225,579166.000,28430,3,AY,1,100,-0.005
1752794198.798225,579206.000,28430,3,AY,1,100,-0.001
1752794198.838225,579246.000,28450,2,AY,1,100,-0.003
1752794198.878225,579286.000,28450,2,AY,1,100,0.019
1752794198.918225,579326.000,28466,3,AY,1,100,0.002
1752794198.958225,579366.000,28466,3,AY,1,100,-0.015
1752794198.998226,579406.000,28466,3,AY,1,100,0.000
1752794199.038226,579446.000,28481,2,AY,1,100,0.006
1752794199.078226,579486.000,28481,2,AY,1,100,0.016
1752794199.118226,579526.000,28500,3,AY,1,100,0.007
1752794199.158226,579566.000,28500,3,AY,1,100,0.000
1752794199.198226,579606.000,28500,3,AY,1,100,-0.010
1752794199.238726,579646.500,28519,2,AY,1,100,0.004
1752794199.279226,579687.000,28519,2,AY,1,100,0.036
1752794199.318893,579726.667,28535,3,AY,1,100,0.057
1752794199.358560,579766.333,28535,3,AY,1,100,0.046
1752794199.398227,579806.000,28535,3,AY,1,100,0.024
1752794199.438227,579846.000,28552,2,AY,1,100,0.027
1752794199.478227,579886.000,28552,2,AY,1,100,0.035
1752794199.514227,579922.000,28569,3,AY,1,100,0.038
1752794199.550227,579958.000,28569,3,AY,1,100,0.021
1752794199.586227,579994.000,28569,3,AY,1,100,0.003
1752794199.626227,580034.000,28586,3,AY,1,100,0.004
1752794199.666228,580074.000,28586,3,AY,1,100,0.005
1752794199.706228,580114.000,28586,3,AY,1,100,0.008
1752794199.746228,580154.000,28604,2,AY,1,100,0.001
1752794199.786228,580194.000,28604,2,AY,1,100,-0.008
1752794199.826228,580234.000,28622,3,AY,1,100,-0.009
1752794199.866228,580274.000,28622,3,AY,1,100,-0.008
1752794199.906228,580314.000,28622,3,AY,1,100,-0.003
1752794199.946228,580354.000,28638,2,AY,1,100,-0.003
1752794199.986229,580394.000,28638,2,AY,1,100,0.000
1752794200.026229,580434.000,28655,3,AY,1,100,-0.001
1752794200.066229,580474.000,28655,3,AY,1,100,0.004
1752794200.106229,580514.000,28655,3,AY,1,100,0.000
1752794200.146229,580554.000,28672,3,AY,1,100,-0.004
1752794200.186229,580594.000,28672,3,AY,1,100,-0.001
1752794200.226229,580634.000,28672,3,AY,1,100,-0.002
1752794200.266229,580674.000,28688,2,AY,1,100,-0.004
1752794200.306230,580714.000,28688,2,AY,1,100,0.002
1752794200.346230,580754.000,28703,3,AY,1,100,0.001
1752794200.386230,580794.000,28703,3,AY,1,100,0.003
1752794200.426230,580834.000,28703,3,AY,1,100,0.002
1752794200.466230,580874.000,28725,2,AY,1,100,-0.003
1752794200.506230,580914.000,28725,2,AY,1,100,-0.001
1752794200.546230,580954.000,28741,3,AY,1,100,-0.004
1752794200.586230,580994.000,28741,3,AY,1,100,-0.010
1752794200.626231,581034.000,28741,3,AY,1,100,-0.003
1752794200.666231,581074.000,28758,2,AY,1,100,0.006
1752794200.706231,581114.000,28758,2,AY,1,100,0.008
1752794200.746231,581154.000,28772,3,AY,1,100,0.004
1752794200.786231,581194.000,28772,3,AY,1,100,-0.002
1752794200.826231,581234.000,28772,3,AY,1,100,-0.007
1752794200.865731,581273.500,28792,2,AY,1,100,0.002
1752794200.905231,581313.000,28792,2,AY,1,100,0.004
1752794200.945232,581353.000,28808,3,AY,1,100,-0.002
1752794200.985232,581393.000,28808,3,AY,1,100,-0.007
1752794201.025232,581433.000,28808,3,AY,1,100,-0.007
1752794201.065232,581473.000,28836,2,AY,1,100,-0.005
1752794201.105232,581513.000,28836,2,AY,1,100,-0.001
1752794201.145232,581553.000,28851,3,AY,1,100,0.001
1752794201.185232,581593.000,28851,3,AY,1,100,0.006
1752794201.225232,581633.000,28851,3,AY,1,100,-0.002
1752794201.265233,581673.000,28868,3,AY,1,100,-0.001
1752794201.305233,581713.000,28868,3,AY,1,100,-0.003
1752794201.345233,581753.000,28868,3,AY,1,100,-0.001
1752794201.385233,581793.000,28884,2,AY,1,100,-0.000
1752794201.425233,581833.000,28884,2,AY,1,100,0.000
1752794201.465233,581873.000,28902,3,AY,1,100,-0.006
1752794201.505233,581913.000,28902,3,AY,1,100,-0.001
1752794201.545233,581953.000,28902,3,AY,1,100,0.003
1752794201.585234,581993.000,28920,2,AY,1,100,0.001
1752794201.625234,582033.000,28920,2,AY,1,100,0.001
1752794201.665234,582073.000,28937,3,AY,1,100,0.000
1752794201.705234,582113.000,28937,3,AY,1,100,-0.000
1752794201.745234,582153.000,28937,3,AY,1,100,0.004
1752794201.785234,582193.000,28953,2,AY,1,100,0.008
1752794201.825234,582233.000,28953,2,AY,1,100,-0.004
1752794201.865234,582273.000,28971,3,AY,1,100,-0.001
1752794201.905234,582313.000,28971,3,AY,1,100,-0.003
1752794201.945235,582353.000,28971,3,AY,1,100,0.003
1752794201.985235,582393.000,28987,2,AY,1,100,0.007
1752794202.025235,582433.000,28987,2,AY,1,100,0.013
1752794202.065235,582473.000,29004,3,AY,1,100,0.015
1752794202.105235,582513.000,29004,3,AY,1,100,0.009
1752794202.145235,582553.000,29004,3,AY,1,100,0.004
1752794202.185235,582593.000,29021,2,AY,1,100,0.017
1752794202.225235,582633.000,29021,2,AY,1,100,0.023
1752794202.265236,582673.000,29040,3,AY,1,100,0.012
1752794202.305236,582713.000,29040,3,AY,1,100,-0.002
1752794202.345236,582753.000,29040,3,AY,1,100,-0.002
1752794202.385236,582793.000,29055,2,AY,1,100,-0.004
1752794202.425236,582833.000,29055,2,AY,1,100,-0.001
1752794202.465236,582873.000,29072,3,AY,1,100,-0.005
1752794202.505236,582913.000,29072,3,AY,1,100,-0.004
1752794202.545236,582953.000,29072,3,AY,1,100,-0.012
1752794202.585237,582993.000,29088,3,AY,1,100,-0.021
1752794202.625237,583033.000,29088,3,AY,1,100,-0.024
1752794202.665237,583073.000,29088,3,AY,1,100,-0.024
1752794202.705237,583113.000,29105,2,AY,1,100,-0.013
1752794202.745237,583153.000,29105,2,AY,1,100,-0.007
1752794202.785237,583193.000,29124,3,AY,1,100,-0.011
1752794202.825237,583233.000,29124,3,AY,1,100,-0.009
1752794202.865237,583273.000,29124,3,AY,1,100,-0.000
1752794202.905238,583313.000,29139,2,AY,1,100,0.003
1752794202.945238,583353.000,29139,2,AY,1,100,-0.008
1752794202.985238,583393.000,29157,3,AY,1,100,-0.015
1752794203.025238,583433.000,29157,3,AY,1,100,-0.016
1752794203.065238,583473.000,29157,3,AY,1,100,-0.012
1752794203.105238,583513.000,29174,2,AY,1,100,0.001
1752794203.145238,583553.000,29174,2,AY,1,100,-0.005
1752794203.185238,583593.000,29191,3,AY,1,100,-0.011
1752794203.225239,583633.000,29191,3,AY,1,100,-0.006
1752794203.265239,583673.000,29191,3,AY,1,100,-0.005
1752794203.305239,583713.000,29206,2,AY,1,100,-0.001
1752794203.345239,583753.000,29206,2,AY,1,100,0.012
1752794203.385239,583793.000,29226,3,AY,1,100,-0.010
1752794203.425239,583833.000,29226,3,AY,1,100,-0.024
1752794203.465239,583873.000,29226,3,AY,1,100,-0.027
1752794203.505239,583913.000,29244,3,AY,1,100,-0.025
1752794203.545240,583953.000,29244,3,AY,1,100,-0.016
1752794203.585240,583993.000,29244,3,AY,1,100,-0.002
1752794203.625240,584033.000,29260,2,AY,1,100,0.000
1752794203.665240,584073.000,29260,2,AY,1,100,0.013
1752794203.700573,584108.333,29277,3,AY,1,100,0.017
1752794203.735907,584143.667,29277,3,AY,1,100,0.009
1752794203.771240,584179.000,29277,3,AY,1,100,0.007
1752794203.811240,584219.000,29294,3,AY,1,100,0.039
1752794203.851240,584259.000,29294,3,AY,1,100,-0.014
1752794203.891241,584299.000,29294,3,AY,1,100,-0.007
1752794203.931241,584339.000,29313,2,AY,1,100,0.041
1752794203.971241,584379.000,29313,2,AY,1,100,-0.005
1752794204.011241,584419.000,29329,3,AY,1,100,0.016
1752794204.051241,584459.000,29329,3,AY,1,100,0.025
1752794204.091241,584499.000,29329,3,AY,1,100,-0.010
1752794204.131241,584539.000,29345,2,AY,1,100,-0.024
1752794204.171241,584579.000,29345,2,AY,1,100,-0.008
1752794204.211242,584619.000,29361,3,AY,1,100,-0.009
1752794204.251242,584659.000,29361,3,AY,1,100,-0.013
1752794204.291242,584699.000,29361,3,AY,1,100,-0.010
1752794204.331242,584739.000,29378,2,AY,1,100,-0.003
1752794204.371242,584779.000,29378,2,AY,1,100,0.004
1752794204.411242,584819.000,29396,3,AY,1,100,-0.003
1752794204.451242,584859.000,29396,3,AY,1,100,-0.014
1752794204.491242,584899.000,29396,3,AY,1,100,-0.024
1752794204.531243,584939.000,29416,2,AY,1,100,-0.024
1752794204.571243,584979.000,29416,2,AY,1,100,-0.023
1752794204.611243,585019.000,29430,3,AY,1,100,-0.012
1752794204.651243,585059.000,29430,3,AY,1,100,-0.011
1752794204.691243,585099.000,29430,3,AY,1,100,-0.015
1752794204.731243,585139.000,29447,2,AY,1,100,-0.002
1752794204.771243,585179.000,29447,2,AY,1,100,-0.000
1752794204.811243,585219.000,29464,3,AY,1,100,0.000
1752794204.851244,585259.000,29464,3,AY,1,100,-0.002
1752794204.891244,585299.000,29464,3,AY,1,100,-0.002
1752794204.931244,585339.000,29483,2,AY,1,100,-0.003
1752794204.971244,585379.000,29483,2,AY,1,100,-0.000
1752794205.011244,585419.000,29497,3,AY,1,100,0.006
1752794205.051244,585459.000,29497,3,AY,1,100,0.005
1752794205.091244,585499.000,29497,3,AY,1,100,-0.006
1752794205.131244,585539.000,29517,3,AY,1,100,-0.020
1752794205.171244,585579.000,29517,3,AY,1,100,-0.016
1752794205.211245,585619.000,29517,3,AY,1,100,0.005
1752794205.251245,585659.000,29533,2,AY,1,100,0.002
1752794205.291245,585699.000,29533,2,AY,1,100,-0.005
1752794205.331245,585739.000,29550,3,AY,1,100,-0.011
1752794205.371245,585779.000,29550,3,AY,1,100,-0.007
1752794205.411245,585819.000,29550,3,AY,1,100,-0.004
1752794205.451245,585859.000,29564,2,AY,1,100,-0.007
1752794205.491245,585899.000,29564,2,AY,1,100,-0.008
1752794205.531246,585939.000,29584,3,AY,1,100,-0.001
1752794205.571246,585979.000,29584,3,AY,1,100,0.003
1752794205.611246,586019.000,29584,3,AY,1,100,0.001
1752794205.651746,586059.500,29602,2,AY,1,100,0.014
1752794205.692246,586100.000,29602,2,AY,1,100,0.011
1752794205.732246,586140.000,29619,3,AY,1,100,-0.012
1752794205.772246,586180.000,29619,3,AY,1,100,-0.022
1752794205.812246,586220.000,29619,3,AY,1,100,-0.017
1752794205.852247,586260.000,29634,2,AY,1,100,-0.011
1752794205.892247,586300.000,29634,2,AY,1,100,0.002
1752794205.932247,586340.000,29655,3,AY,1,100,0.006
1752794205.972247,586380.000,29655,3,AY,1,100,0.020
1752794206.012247,586420.000,29655,3,AY,1,100,0.019
1752794206.052247,586460.000,29671,2,AY,1,100,0.017
1752794206.092247,586500.000,29671,2,AY,1,100,0.001
1752794206.132247,586540.000,29694,3,AY,1,100,-0.002
1752794206.172248,586580.000,29694,3,AY,1,100,0.001
1752794206.212248,586620.000,29694,3,AY,1,100,0.002
1752794206.252248,586660.000,29709,2,AY,1,100,0.006
1752794206.292248,586700.000,29709,2,AY,1,100,0.003
1752794206.332248,586740.000,29727,3,AY,1,100,-0.005
1752794206.372248,586780.000,29727,3,AY,1,100,-0.019
1752794206.412248,586820.000,29727,3,AY,1,100,-0.003
1752794206.452248,586860.000,29743,2,AY,1,100,0.010
1752794206.492249,586900.000,29743,2,AY,1,100,0.023
1752794206.532249,586940.000,29761,3,AY,1,100,0.030
1752794206.572249,586980.000,29761,3,AY,1,100,0.023
1752794206.612249,587020.000,29761,3,AY,1,100,0.026
1752794206.652249,587060.000,29778,2,AY,1,100,0.021
1752794206.692249,587100.000,29778,2,AY,1,100,0.012
1752794206.732249,587140.000,29796,3,AY,1,100,0.010
1752794206.772249,587180.000,29796,3,AY,1,100,0.024
