LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752787778.401409,79365.000,10576,3,GX,1,100,-1.190
1752787778.441409,79405.000,10576,3,GX,1,100,-0.305
1752787778.481409,79445.000,10590,2,GX,1,100,0.275
1752787778.521410,79485.000,10590,2,GX,1,100,0.580
1752787778.561410,79525.000,10608,3,GX,1,100,1.495
1752787778.601410,79565.000,10608,3,GX,1,100,6.805
1752787778.641411,79605.000,10608,3,GX,1,100,16.510
1752787778.681411,79645.000,10624,2,GX,1,100,16.602
1752787778.721411,79685.000,10624,2,GX,1,100,10.803
1752787778.761412,79725.000,10643,3,GX,1,100,5.127
1752787778.801412,79765.000,10643,3,GX,1,100,1.221
1752787778.841412,79805.000,10643,3,GX,1,100,-0.336
1752787778.881413,79845.000,10657,2,GX,1,100,-1.038
1752787778.921413,79885.000,10657,2,GX,1,100,-1.007
1752787778.961413,79925.000,10675,3,GX,1,100,-0.397
1752787779.001414,79965.000,10675,3,GX,1,100,-0.549
1752787779.041414,80005.000,10675,3,GX,1,100,-0.092
1752787779.081414,80045.000,10691,2,GX,1,100,-0.641
1752787779.121415,80085.000,10691,2,GX,1,100,-1.892
1752787779.161415,80125.000,10708,3,GX,1,100,-4.700
1752787779.201415,80165.000,10708,3,GX,1,100,-6.226
1752787779.241416,80205.000,10708,3,GX,1,100,-8.118
1752787779.281416,80245.000,10723,2,GX,1,100,-10.315
1752787779.321416,80285.000,10723,2,GX,1,100,-9.735
1752787779.361417,80325.000,10742,3,GX,1,100,-8.240
1752787779.401417,80365.000,10742,3,GX,1,100,-7.935
1752787779.441417,80405.000,10742,3,GX,1,100,-6.348
1752787779.481418,80445.000,10760,2,GX,1,100,-6.287
1752787779.521418,80485.000,10760,2,GX,1,100,-3.204
1752787779.561418,80525.000,10778,3,GX,1,100,-4.059
1752787779.601419,80565.000,10778,3,GX,1,100,-8.270
1752787779.641419,80605.000,10778,3,GX,1,100,-9.338
1752787779.681419,80645.000,10792,3,GX,1,100,-9.827
1752787779.721420,80685.000,10792,3,GX,1,100,-8.850
1752787779.761420,80725.000,10792,3,GX,1,100,-5.890
1752787779.801420,80765.000,10811,2,GX,1,100,-3.204
1752787779.841421,80805.000,10811,2,GX,1,100,-2.045
1752787779.881421,80845.000,10827,3,GX,1,100,-3.510
1752787779.921421,80885.000,10827,3,GX,1,100,-5.188
1752787779.961422,80925.000,10827,3,GX,1,100,-5.188
1752787780.001422,80965.000,10845,2,GX,1,100,-4.822
1752787780.041422,81005.000,10845,2,GX,1,100,-4.150
1752787780.076756,81040.333,10862,3,GX,1,100,-2.747
1752787780.112089,81075.667,10862,3,GX,1,100,-1.801
1752787780.147423,81111.000,10862,3,GX,1,100,-1.801
1752787780.187423,81151.000,10878,3,GX,1,100,-3.387
1752787780.227424,81191.000,10878,3,GX,1,100,-5.463
1752787780.267424,81231.000,10878,3,GX,1,100,-6.805
1752787780.307424,81271.000,10895,2,GX,1,100,-7.233
1752787780.347425,81311.000,10895,2,GX,1,100,-5.737
1752787780.387425,81351.000,10912,3,GX,1,100,-6.134
1752787780.427425,81391.000,10912,3,GX,1,100,-6.622
1752787780.467426,81431.000,10912,3,GX,1,100,-6.653
1752787780.507426,81471.000,10928,2,GX,1,100,-6.744
1752787780.547426,81511.000,10928,2,GX,1,100,-5.859
1752787780.587427,81551.000,10944,3,GX,1,100,-4.700
1752787780.627427,81591.000,10944,3,GX,1,100,-3.937
1752787780.667427,81631.000,10944,3,GX,1,100,-3.723
1752787780.707428,81671.000,10962,2,GX,1,100,-4.578
1752787780.747428,81711.000,10962,2,GX,1,100,-4.913
1752787780.787428,81751.000,10979,3,GX,1,100,-4.120
1752787780.827429,81791.000,10979,3,GX,1,100,-3.021
