LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1755195926.006975,1318862.000,16530,1,T1,1,100,37.714
1755195926.139976,1318995.000,16548,1,T1,1,100,37.628
1755195926.273977,1319129.000,16579,1,T1,1,100,37.591
1755195926.406978,1319262.000,16595,1,T1,1,100,37.610
1755195926.539979,1319395.000,16613,1,T1,1,100,37.583
1755195926.673980,1319529.000,16644,1,T1,1,100,37.642
1755195926.806981,1319662.000,16661,1,T1,1,100,37.668
1755195926.939982,1319795.000,16678,1,T1,1,100,37.715
1755195927.073983,1319929.000,16694,1,T1,1,100,37.699
1755195927.206984,1320062.000,16728,1,T1,1,100,37.622
1755195927.339985,1320195.000,16745,1,T1,1,100,37.624
1755195927.473985,1320329.000,16761,1,T1,1,100,37.589
1755195927.606986,1320462.000,16793,1,T1,1,100,37.574
1755195927.739987,1320595.000,16810,1,T1,1,100,37.532
1755195927.872988,1320728.000,16827,1,T1,1,100,37.585
1755195928.006989,1320862.000,16858,1,T1,1,100,37.714
1755195928.139990,1320995.000,16878,1,T1,1,100,37.628
1755195928.272991,1321128.000,16894,1,T1,1,100,37.697
1755195928.406992,1321262.000,16931,1,T1,1,100,37.727
1755195928.539993,1321395.000,16948,1,T1,1,100,37.598
1755195928.673994,1321529.000,16964,1,T1,1,100,37.720
1755195928.806995,1321662.000,16998,1,T1,1,100,37.772
1755195928.939996,1321795.000,17015,1,T1,1,100,37.724
1755195929.072997,1321928.000,17031,1,T1,1,100,37.810
1755195929.206998,1322062.000,17065,1,T1,1,100,37.776
1755195929.339999,1322195.000,17082,1,T1,1,100,37.655
1755195929.473000,1322328.000,17099,1,T1,1,100,37.709
1755195929.607001,1322462.000,17116,1,T1,1,100,37.768
1755195929.740002,1322595.000,17147,1,T1,1,100,37.651
1755195929.873003,1322728.000,17166,1,T1,1,100,37.601
1755195930.007003,1322862.000,17183,1,T1,1,100,37.650
1755195930.140004,1322995.000,17215,1,T1,1,100,37.636
1755195930.273005,1323128.000,17231,1,T1,1,100,37.630
1755195930.407006,1323262.000,17248,1,T1,1,100,37.662
1755195930.540007,1323395.000,17280,1,T1,1,100,37.677
1755195930.673008,1323528.000,17296,1,T1,1,100,37.718
1755195930.807009,1323662.000,17316,1,T1,1,100,37.665
1755195930.940010,1323795.000,17347,1,T1,1,100,37.678
1755195931.073011,1323928.000,17363,1,T1,1,100,37.719
