LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752784456.868960,342182.000,53545,3,GX,1,100,-0.214
1752784456.908960,342222.000,53561,2,GX,1,100,-0.214
1752784456.948961,342262.000,53561,2,GX,1,100,-0.214
1752784456.988961,342302.000,53578,3,GX,1,100,-0.366
1752784457.028962,342342.000,53578,3,GX,1,100,-0.458
1752784457.068962,342382.000,53578,3,GX,1,100,-1.007
1752784457.108962,342422.000,53595,2,GX,1,100,-0.793
1752784457.148963,342462.000,53595,2,GX,1,100,-0.244
1752784457.188963,342502.000,53610,3,GX,1,100,-0.031
1752784457.228963,342542.000,53610,3,GX,1,100,-0.061
1752784457.268964,342582.000,53610,3,GX,1,100,-0.519
1752784457.308964,342622.000,53626,2,GX,1,100,-0.702
1752784457.348964,342662.000,53626,2,GX,1,100,-0.793
1752784457.388965,342702.000,53651,4,GX,1,100,-1.282
1752784457.428965,342742.000,53651,4,GX,1,100,-1.221
1752784457.468965,342782.000,53651,4,GX,1,100,-0.946
1752784457.508966,342822.000,53651,4,GX,1,100,-0.641
1752784457.548966,342862.000,53667,3,GX,1,100,-0.153
1752784457.588966,342902.000,53667,3,GX,1,100,-0.153
1752784457.628967,342942.000,53667,3,GX,1,100,0.000
1752784457.662467,342975.500,53684,2,GX,1,100,0.092
1752784457.695967,343009.000,53684,2,GX,1,100,-0.031
1752784457.735968,343049.000,53698,3,GX,1,100,-0.183
1752784457.775968,343089.000,53698,3,GX,1,100,0.122
1752784457.815968,343129.000,53698,3,GX,1,100,0.122
1752784457.855969,343169.000,53718,3,GX,1,100,0.122
1752784457.895969,343209.000,53718,3,GX,1,100,-0.519
1752784457.935969,343249.000,53718,3,GX,1,100,-1.007
1752784457.975970,343289.000,53734,2,GX,1,100,-1.251
1752784458.015970,343329.000,53734,2,GX,1,100,-1.251
1752784458.055971,343369.000,53753,3,GX,1,100,-1.221
1752784458.095971,343409.000,53753,3,GX,1,100,-0.427
1752784458.135971,343449.000,53753,3,GX,1,100,0.549
1752784458.175972,343489.000,53769,2,GX,1,100,0.275
1752784458.215972,343529.000,53769,2,GX,1,100,-0.824
1752784458.255972,343569.000,53785,3,GX,1,100,-0.916
1752784458.295973,343609.000,53785,3,GX,1,100,-0.641
1752784458.335973,343649.000,53785,3,GX,1,100,-0.854
1752784458.375973,343689.000,53801,2,GX,1,100,-1.221
1752784458.415974,343729.000,53801,2,GX,1,100,-0.916
1752784458.455974,343769.000,53819,3,GX,1,100,-0.336
1752784458.495974,343809.000,53819,3,GX,1,100,0.214
1752784458.535975,343849.000,53819,3,GX,1,100,-0.275
1752784458.575975,343889.000,53835,2,GX,1,100,-0.824
1752784458.615975,343929.000,53835,2,GX,1,100,-0.488
1752784458.655976,343969.000,53852,3,GX,1,100,0.061
1752784458.695976,344009.000,53852,3,GX,1,100,-0.549
1752784458.735977,344049.000,53852,3,GX,1,100,-1.129
1752784458.775977,344089.000,53869,2,GX,1,100,-1.129
1752784458.815977,344129.000,53869,2,GX,1,100,-0.793
1752784458.855978,344169.000,53886,3,GX,1,100,-0.366
1752784458.895978,344209.000,53886,3,GX,1,100,-0.183
1752784458.935978,344249.000,53886,3,GX,1,100,-0.244
1752784458.975979,344289.000,53902,2,GX,1,100,-0.244
1752784459.015979,344329.000,53902,2,GX,1,100,-0.488
1752784459.055979,344369.000,53917,3,GX,1,100,-0.916
1752784459.095980,344409.000,53917,3,GX,1,100,-0.671
1752784459.135980,344449.000,53917,3,GX,1,100,-0.214
1752784459.175980,344489.000,53934,3,GX,1,100,-0.031
1752784459.215981,344529.000,53934,3,GX,1,100,-0.275
1752784459.255981,344569.000,53934,3,GX,1,100,-1.068
1752784459.295981,344609.000,53951,2,GX,1,100,-1.495
1752784459.335982,344649.000,53951,2,GX,1,100,-1.099
1752784459.375982,344689.000,53971,3,GX,1,100,-0.702
1752784459.415982,344729.000,53971,3,GX,1,100,-0.916
1752784459.455983,344769.000,53971,3,GX,1,100,-1.038
1752784459.495983,344809.000,53987,2,GX,1,100,-0.946
1752784459.535984,344849.000,53987,2,GX,1,100,-0.610
1752784459.575984,344889.000,54003,3,GX,1,100,-0.580
1752784459.615984,344929.000,54003,3,GX,1,100,-0.946
1752784459.655985,344969.000,54003,3,GX,1,100,-2.319
1752784459.695985,345009.000,54020,2,GX,1,100,-2.686
1752784459.735985,345049.000,54020,2,GX,1,100,-2.350
1752784459.775986,345089.000,54039,3,GX,1,100,-3.113
1752784459.815986,345129.000,54039,3,GX,1,100,-5.554
